"ID";"P08";"P10";"P11";"P12";"P13";"P14";"P15_15";"P15_16";"P15_17";"P15_18";"P15_19";"P15_20";"P15_21";"P22";"P23";"P24_24";"P24_25";"P24_26";"P24_27";"P24_28";"P24_29";"P30";"P31";"P32";"P33_33";"P33_34";"P33_35";"P33_36";"P33_37";"P38";"P39";"P40";"P41_41";"P41_42";"P41_43";"P41_44";"P41_45";"P46";"P47";"P48";"P54";"P55_55";"P55_56";"P55_57";"P55_58";"P55_59";"P62";"P63";"P64_64";"P64_65";"P64_66";"P64_67";"P64_68";"P64_69";"P64_70";"P64_71";"P73_73";"P73_74";"P73_75";"P77_77";"P77_78";"P77_79";"P77_80";"P77_81";"P77_82";"P77_83";"P84_84";"P84_85";"P84_86";"P84_87";"P84_88";"P84_89";"P92";"V03";"V04";"V05";"V06";"V07";"V08";"V09";"V10";"V11";"V11b";"V12";"V12a";"V12B";"V13";"V14";"VD_P49A";"VD_P50A";"VD_P51A";"VD_P52A";"VD_P53A";"VD_P49B";"VD_P50B";"VD_P51B";"VD_P52B";"VD_P53B";"VD_P55B";"VD_P55_60";"VD_P64_72";"VD_P76";"VD_P90";"VD_P92A";"VD_RACA";"VD_REGIAO";"VD_IDADE";"VD_EDUCACAO";"VD_DOMICILIO";"VD_PORTE";"POP_UF_idade";"POP_UF_raca";"POP_UF_edu";"POP_UF_porte";"POP_UF_residencia";"W1";"W2"
"7971";29;2;1;1;1;3;1;1;1;1;2;1;1;1;3;1;1;1;1;1;1;2;1;1;2;2;1;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;1;1;1;1;;;;;;;1;3;3;;;;;;;;;;;;97;2;97;2;;1;2;5;7;1;3;605895;1142339,45855227;706222,509195263;1363516;4325699,27241818;1,07752022328331;1504,09834339024
"7972";53;3;2;1;1;3;1;1;1;1;1;1;2;2;2;1;1;1;1;1;2;2;2;1;1;1;1;2;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;1;1;2;;1;;;;;;1;6;1;;;;;;;;;;;;97;2;97;2;;4;5;10;5;1;3;146821;719504,381764959;352374,299331847;1192401;1144552,13203908;0,308690015682969;1005,34015536489
"7973";25;3;1;1;1;3;2;1;1;1;1;2;1;97;3;1;1;1;2;2;2;2;1;2;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;4;1;1;1;1;1;;;;;;;2;1;3;;;;;;;;;;;;97;2;97;4;0;4;2;9;7;1;2;95710;1064111,11136071;216695,406122903;440095;1261071,51373576;0,413358071666202;1096,67259458671
"7974";50;2;1;2;3;3;2;1;2;1;1;1;2;1;1;1;2;1;1;2;1;1;1;1;1;2;1;2;1;1;2;1;1;2;1;1;1;1;2;;1;2;2;2;2;2;2;;2;2;2;2;2;2;1;1;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;4;1;1;1;1;1;;;;;;;1;1;2;1;2;;2;;;;;;;1;1;2;2;2;0;1;5;8;7;1;3;78808;485412,154582629;250519,903589362;370695;990828,486193927;0,227026990026312;366,99955239565
"7975";16;3;1;1;1;4;1;1;1;1;1;1;1;2;3;1;2;1;1;2;2;2;2;1;1;1;1;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;1;1;1;3;;;2;;;;;1;1;1;;;;;;;;;;;;97;2;97;4;2;4;1;4;5;1;2;29419;220844,336179983;88625,3054744267;206458;243938,710614161;0,164768411770093;505,623965769231
"7976";50;3;3;1;1;3;3;2;1;2;1;1;1;2;2;1;1;1;1;1;1;2;2;1;2;1;1;1;1;1;2;1;1;2;1;2;1;2;2;;1;2;1;1;2;2;1;1;1;1;2;2;2;2;1;2;1;3;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;1;1;2;;;;;1;;1;4;1;5;1;1;2;;2;;;;;;;2;2;2;3;3;2;2;5;5;5;1;1;107723;598139,845417371;291122,268034132;471887;990828,486193927;0,227026990026312;1319,40547504613
"7977";32;3;1;1;1;3;1;1;1;1;2;1;1;2;3;1;1;1;1;1;1;1;2;1;1;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;4;1;1;1;2;;1;;;;;;1;2;3;;;;;;;;;;;;97;2;97;3;0;4;3;7;7;1;2;125474;958616,589954958;311924,928079012;851322;1391016,9466393;0,979934638572808;2614,38895199745
"7978";42;2;1;97;1;3;2;3;3;3;2;2;4;2;1;1;1;1;1;1;2;2;2;1;1;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;1;1;1;2;1;;;;;;2;1;2;;;;;;;;;;;;97;2;97;1;;4;4;2;5;1;1;310650;651642,337213937;900535,141431364;1130232;2721026,22704136;0,704496739378584;2963,4855872803
"7979";32;3;1;2;1;3;1;1;2;1;1;2;2;1;2;1;1;1;1;1;2;2;2;2;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;1;1;2;;;;;2;1;1;1;1;1;2;;;;;;;;;;;;97;2;97;3;0;4;3;10;5;1;2;240183;958616,589954958;483355,9695245;851322;1391016,9466393;0,650404023524547;3382,71179650795
"7980";23;3;1;1;1;3;1;1;3;1;1;1;2;1;1;1;1;1;1;1;1;2;2;1;1;2;1;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;2;1;1;3;;;2;;;;;2;2;3;;;;;;;;;;;;97;2;97;5;;4;2;1;6;1;3;605312;2601054,19631358;183041,969649083;1065900;2903147,45967571;0,659691651734968;1896,57597301621
"7981";41;3;3;1;2;4;1;3;2;3;3;2;1;2;1;1;1;1;1;1;2;2;2;1;1;1;1;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;2;2;2;1;1;2;2;2;2;2;1;3;2;1;1;1;1;;;;;;;2;2;1;;;;;;;;;;;;97;2;97;4;2;2;4;4;4;1;1;446332;1602828,04035019;348386,71261888;1731233;4217476,99265909;1,09731593661602;2504,86952341522
