"ID";"P08";"P10";"P11";"P12";"P13";"P14";"P15_15";"P15_16";"P15_17";"P15_18";"P15_19";"P15_20";"P15_21";"P22";"P23";"P24_24";"P24_25";"P24_26";"P24_27";"P24_28";"P24_29";"P30";"P31";"P32";"P33_33";"P33_34";"P33_35";"P33_36";"P33_37";"P38";"P39";"P40";"P41_41";"P41_42";"P41_43";"P41_44";"P41_45";"P46";"P47";"P48";"P54";"P55_55";"P55_56";"P55_57";"P55_58";"P55_59";"P62";"P63";"P64_64";"P64_65";"P64_66";"P64_67";"P64_68";"P64_69";"P64_70";"P64_71";"P73_73";"P73_74";"P73_75";"P77_77";"P77_78";"P77_79";"P77_80";"P77_81";"P77_82";"P77_83";"P84_84";"P84_85";"P84_86";"P84_87";"P84_88";"P84_89";"P92";"V03";"V04";"V05";"V06";"V07";"V08";"V09";"V10";"V11";"V11b";"V12";"V12a";"V12B";"V13";"V14";"VD_P49A";"VD_P50A";"VD_P51A";"VD_P52A";"VD_P53A";"VD_P49B";"VD_P50B";"VD_P51B";"VD_P52B";"VD_P53B";"VD_P55B";"VD_P55_60";"VD_P64_72";"VD_P76";"VD_P90";"VD_P92A";"VD_RACA";"VD_REGIAO";"VD_IDADE";"VD_EDUCACAO";"VD_DOMICILIO";"VD_PORTE";"POP_UF_idade";"POP_UF_raca";"POP_UF_edu";"POP_UF_porte";"POP_UF_residencia";"W1";"W2"
"1";31;2;3;2;1;3;1;1;1;1;2;1;1;2;2;1;2;1;1;1;1;2;2;1;1;2;1;2;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;97;2;2;2;2;3;1;1;1;1;2;1;;;;;;1;1;97;;;;;;;;;;;;97;2;97;97;;4;3;5;5;1;1;833623;5015084,87690932;2627141,27342489;3374584;7540128,89355486;1,8479769645982;8062,3766745206
"2";23;2;2;1;1;1;1;1;2;2;2;2;2;2;2;1;2;1;1;2;1;2;2;2;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;;;;;2;2;2;;;1;1;;;;;;;;;;;;97;2;97;3;;4;2;7;3;2;3;273328;2601054,19631358;272715,430349851;1065900;690075,540324291;0,659691651734968;1294,58803529433
"3";12;3;3;97;1;3;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;2;2;2;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;97;;;;;;;;2;1;1;;;;;;;;;;;;97;2;97;3;;4;1;8;2;1;2;16328;246918,118890889;62980,1065641402;176659;244953,131703476;0,252770843758742;806,015195126085
"4";23;2;1;1;1;3;1;1;1;2;1;1;2;2;2;1;1;1;1;1;2;2;2;1;1;97;1;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;1;1;1;1;;;;;;;2;1;3;;;;;;;;;;;;97;2;97;4;;1;2;5;7;1;3;346024;992168,803686416;475352,262867248;1065900;2903147,45967571;0,659691651734968;742,892485025354
"5";15;3;1;2;1;3;2;1;2;1;1;2;4;2;1;1;1;1;1;2;2;2;3;1;1;2;1;2;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;97;97;97;97;97;97;97;97;97;97;97;97;97;97;6;;97;97;;;;;;97;97;;;97;97;;;;;;;;;;;;97;2;97;97;97;1;1;2;7;2;2;337350;564503,344155671;407101,64506079;1615655;659971,043387907;0,532037117894214;2477,13332068277
"6";22;2;3;1;1;4;2;4;3;4;2;2;1;1;2;1;1;1;1;1;1;2;2;2;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;2;2;2;2;1;2;2;2;1;2;2;3;1;1;2;;;;;1;;2;;;1;1;;;;;;;;;;;;97;2;97;2;;4;2;2;5;1;3;122311;1038322,56423014;373762,796542349;371619;922649,581990075;0,430248352526104;1016,22884303181
"7";26;1;1;2;2;3;1;1;1;1;3;1;1;2;1;1;1;1;1;1;1;2;2;2;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;4;1;1;2;;;;;2;1;2;;;1;3;;;;;;;;;;;;97;2;97;3;1;1;2;5;7;1;3;368646;1291570,96060967;518376,838814799;943988;3214851,05338958;1,33438737401336;2596,24140487892
"8";35;2;1;2;1;1;3;97;4;4;97;97;97;2;1;1;1;1;1;2;1;2;1;1;2;1;1;1;2;1;1;1;1;2;1;2;1;1;1;1;;2;1;2;1;1;1;1;1;2;1;2;1;2;2;2;3;;2;1;2;2;1;1;2;1;2;1;1;1;2;2;2;2;1;1;1;1;1;;;;;;;1;1;1;1;1;;;;;;;;;2;2;2;97;97;;2;3;10;3;1;2;3062430;7652268,15153127;1383242,17809394;8136323;18265345,6229506;4,4847328660915;17625,2112700167
"9";33;2;1;2;97;3;1;1;2;1;1;2;2;2;2;1;1;1;1;2;2;2;2;2;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;3;1;1;2;;;;;1;;2;;;2;1;;;;;;;;;;;;97;2;97;4;;5;3;1;5;1;3;979875;3639495,50891637;2414468,13508057;3855378;6815646,96134305;1,61042972658975;14786,942163536
"10";17;2;2;1;1;3;1;1;1;1;1;1;1;1;2;1;1;1;2;2;2;2;2;1;1;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;1;2;;;;;1;;2;;;1;1;;;;;;;;;;;;97;2;97;4;;1;1;1;4;1;1;111075;123370,740711119;45841,1664960021;304737;497867,387793094;0,111757498848312;573,388443500328
"11";35;3;2;2;2;3;1;2;1;1;1;2;2;2;2;1;1;1;1;1;1;2;2;2;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;4;2;1;1;2;;2;;;;;;1;4;3;;;;;;;;;;;;97;2;97;2;0;1;3;8;6;1;2;1433780;11181216,8484687;1028401,50677568;8136323;18265345,6229506;6,24318532748843;7961,87748744246
"12";22;3;3;1;1;3;1;1;1;1;1;2;1;2;1;1;1;1;1;2;2;2;2;2;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;4;1;1;2;;;;;2;2;1;1;2;1;3;;;;;;;;;;;;97;2;97;4;1;4;2;7;7;1;3;97665;1038322,56423014;208363,09659752;371619;922649,581990075;0,215124176263052;472,797275613991
"13";41;1;3;1;1;3;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;2;1;1;1;2;1;2;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;2;1;2;;;;;1;;1;2;1;1;2;;;;;;;;;;;;97;2;97;4;;1;4;3;6;1;2;443806;3116799,95964981;273361,135464139;1961988;4217476,99265909;0,731600762477492;3041,60575874255
"14";28;3;1;1;2;3;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;1;1;3;;;1;;;;;1;1;2;;;;;;;;;;;;97;2;97;5;;2;2;2;7;1;1;91442;690607,941093683;142693,223238106;391346;722112,086560352;0,155046549824753;1172,06201385853
"15";27;3;1;1;1;3;4;2;2;1;2;3;2;2;2;1;1;1;2;2;2;2;2;2;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;1;2;2;;;;;1;;2;;;1;1;;;;;;;;;;;;97;2;97;4;0;4;2;2;5;2;1;127153;908596,571284108;358643,23233841;550620;253005,10097687;0,635466513342847;2854,88463631988
"16";42;2;1;2;2;2;1;1;3;1;1;1;1;2;1;1;1;1;1;2;2;2;2;1;2;2;2;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;1;2;2;2;2;2;1;1;2;2;2;1;4;1;2;2;;;;;1;;2;;;2;1;;;;;;;;;;;;97;2;97;3;1;4;4;1;7;2;2;472361;651642,337213937;658394,585312965;1498571;397735,772958638;0,704496739378584;3911,89281238065
"17";51;2;3;1;1;3;2;1;3;1;2;1;1;2;2;1;1;1;1;2;2;2;2;2;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;4;2;1;1;1;2;1;;;;;;2;1;3;;;;;;;;;;;;97;2;97;4;2;1;5;4;6;1;2;151615;453051,817122641;79103,4183374693;554936;1228028,01092492;0,304507709752327;606,736709900638
"18";16;3;1;2;2;2;1;1;1;1;1;1;2;2;1;1;1;1;2;2;2;2;2;2;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;1;2;2;;;;;1;;2;;;1;1;;;;;;;;;;;;97;2;97;3;0;4;1;4;5;2;2;29419;220844,336179983;88625,3054744267;206458;21765,2893858387;0,0549228039233644;54,4870929769226
"19";53;3;3;2;1;3;1;1;1;1;1;2;2;1;2;1;1;1;1;1;2;2;2;2;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;4;1;1;1;1;1;;;;;;;1;2;3;;;;;;;;;;;;97;2;97;4;0;2;5;8;7;1;3;83140;719504,381764959;410550,621539486;1192401;1144552,13203908;1,07141549731885;2379,74147092518
"20";53;2;1;2;1;2;1;1;1;2;2;2;3;1;3;1;1;1;1;1;1;2;2;2;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;4;1;1;1;3;;;2;;;;;1;1;3;;;;;;;;;;;;97;2;97;3;0;4;5;10;7;1;3;146821;719504,381764959;410550,621539486;1192401;1144552,13203908;0,308690015682969;1126,76049888119
"21";43;2;3;1;2;3;1;1;2;1;1;2;1;1;1;1;1;1;2;1;1;2;2;2;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;2;1;2;;;;;2;2;1;97;1;1;2;;;;;;;;;;;;97;2;97;2;0;1;4;10;4;1;2;878414;3610129,25112665;363994,16554625;2324503;4029583,56019369;2,07076173760152;5061,92518641012
"22";41;3;2;1;1;3;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;97;2;1;1;2;1;2;1;1;1;1;1;2;1;2;1;2;1;1;;1;1;2;2;2;2;;2;2;2;2;2;2;2;2;;;;1;1;2;2;2;2;2;2;2;2;1;2;2;1;3;1;1;2;;;;;2;2;2;;;6;1;1;1;;;;;;;;;2;2;1;2;5;3;4;4;6;5;1;1;403354;1602828,04035019;1395869,7336891;1731233;4217476,99265909;0,319921845166263;1002,40120230693
"23";43;3;3;1;1;4;1;2;2;1;2;1;1;2;2;1;1;1;1;1;2;2;1;1;1;2;1;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;2;1;2;;;;;1;;2;;;2;1;;;;;;;;;;;;97;2;97;3;1;4;4;2;4;1;2;395452;1020946,74887335;363994,16554625;2324503;4029583,56019369;1,03538086880076;2524,11600004949
"24";28;2;1;2;1;2;1;2;1;1;1;2;1;2;2;1;1;1;1;2;1;2;2;2;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;1;1;1;1;;;;;;;2;1;2;;;;;;;;;;;;97;2;97;2;;2;2;5;5;1;3;92295;690607,941093683;252015,819968404;266839;722112,086560352;0,155046549824753;187,158258879754
"25";53;3;1;1;2;3;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;2;2;2;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;4;1;1;1;1;2;2;;;;;;1;6;3;;;;;;;;;;;;97;2;97;5;0;4;5;2;7;1;3;113649;719504,381764959;410550,621539486;1192401;1144552,13203908;0,308690015682969;1450,18440695207
"26";17;3;3;1;2;3;1;2;2;1;1;2;2;1;1;1;1;1;1;2;1;2;1;1;1;2;1;2;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;4;1;1;1;1;2;1;;;;;;1;3;1;;;;;;;;;;;;97;2;97;1;;1;1;2;7;1;2;59553;123370,740711119;115064,751554722;265330;497867,387793094;0,111757498848312;319,091258246358
"27";26;2;1;2;1;3;1;1;2;1;1;1;1;2;2;1;2;1;1;2;2;2;2;1;1;1;1;2;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;2;2;2;1;2;2;2;2;2;2;1;3;1;1;2;;;;;1;;1;3;2;1;1;;;;;;;;;;;;97;2;97;4;3;4;2;3;5;1;1;359896;2450940,03939033;1303862,0428603;1207006;3214851,05338958;0,677977348931574;5213,42422184463
"28";16;2;1;1;1;3;1;1;2;1;1;2;1;1;2;1;1;1;1;1;2;2;2;2;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;4;1;1;2;;;;;1;;2;;;2;3;;;;;;;;;;;;97;2;97;4;1;4;1;2;7;1;2;32404;220844,336179983;59779,062125392;206458;243938,710614161;0,164768411770093;672,141384132005
"29";12;3;1;1;1;4;2;1;1;4;1;2;2;2;2;1;1;1;1;1;2;2;2;2;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;4;2;1;2;;;;;1;;2;;;2;1;;;;;;;;;;;;97;2;97;5;1;4;1;1;6;1;2;68764;246918,118890889;16622,6996689259;176659;244953,131703476;0,0612027164113033;295,796044617544
"30";53;2;3;1;1;3;1;1;1;1;1;1;1;2;1;1;1;1;1;2;1;2;2;1;1;2;1;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;4;1;1;2;;;;;1;;2;;;2;1;;;;;;;;;;;;97;2;97;3;2;2;5;3;7;1;3;115247;719504,381764959;410550,621539486;1192401;1144552,13203908;0,803561622989139;3512,39450196682
"31";51;2;3;1;1;3;1;1;1;2;1;1;1;1;2;1;1;1;1;1;2;2;1;1;1;1;1;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;1;1;2;;;;;2;2;2;;;1;3;;;;;;;;;;;;97;2;97;3;2;1;5;5;5;1;1;143800;453051,817122641;421720,84129634;565504;1228028,01092492;0,304507709752327;1856,87317521957
"32";17;2;1;1;1;4;1;1;1;1;1;1;2;2;3;1;1;1;1;2;2;2;2;1;1;2;1;2;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;1;1;2;;;;;2;1;2;;;1;1;;;;;;;;;;;;97;2;97;4;1;4;1;1;5;1;1;111075;446696,259288881;179906,87434287;304737;497867,387793094;0,111757498848312;743,910689920883
"33";26;2;1;1;1;3;1;1;1;1;2;1;1;2;1;1;1;1;1;2;2;2;2;2;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;1;2;1;1;2;2;2;2;2;2;2;4;1;1;1;3;;;1;;;;;1;1;97;;;;;;;;;;;;97;2;97;2;;4;2;2;7;1;3;350624;2450940,03939033;518376,838814799;943988;3214851,05338958;0,238007908823046;498,931106154693
"34";53;3;1;1;1;2;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;2;1;1;1;2;1;2;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;4;2;1;2;;;;;1;;2;;;5;1;;;;;;;;;;;;97;2;97;3;1;4;5;3;6;1;3;115247;719504,381764959;102084,433056777;1192401;1144552,13203908;0,308690015682969;834,964383136044
"35";31;3;1;1;1;3;1;1;2;1;1;1;1;2;2;1;1;2;2;2;2;2;2;2;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;2;2;2;;;;;1;;2;;;1;3;;;;;;;;;;;;97;2;97;4;0;4;3;1;4;2;3;1299433;5015084,87690932;696385,873998848;1859625;1035543,10644514;1,8479769645982;5524,63546318436
"36";25;3;1;1;1;3;1;2;1;1;1;1;1;2;3;1;1;1;1;2;2;2;2;2;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;2;2;2;1;2;2;2;2;2;2;1;2;2;2;2;;;;;2;2;2;;;5;1;;;;;;;;;;;;97;2;97;4;3;4;2;2;2;2;1;151017;1064111,11136071;446322,461496075;822628;361930,486264242;0,289162127968898;3661,43224277413
"37";31;3;1;1;1;3;1;1;1;1;1;2;1;2;1;1;1;1;1;2;2;2;2;1;1;1;1;2;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;1;1;2;;1;;;;;;2;1;2;;;;;;;;;;;;97;2;97;2;;4;3;2;7;1;3;772492;5015084,87690932;1571143,8852854;1859625;7540128,89355486;1,8479769645982;5214,48890575624
"38";43;3;1;1;1;3;1;1;1;1;1;1;1;1;2;1;1;1;1;1;2;2;2;1;1;2;1;2;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;1;1;2;;;;;1;;2;;;2;1;;;;;;;;;;;;97;2;97;3;1;1;4;1;5;1;1;640752;3610129,25112665;1290313,44136863;1698898;4029583,56019369;1,03538086880076;13345,3758344338
"39";22;2;1;2;3;3;1;2;1;2;1;1;1;2;1;1;1;1;1;1;1;2;2;1;1;2;1;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;1;1;1;1;1;;;;;;;1;1;2;;;;;;;;;;;;97;2;97;3;0;4;2;5;5;1;2;128343;1038322,56423014;373762,796542349;154791;922649,581990075;0,215124176263052;420,837636864333
"40";31;3;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;2;1;2;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;1;1;3;;;1;;;;;1;2;1;;;;;;;;;;;;97;2;97;2;;4;3;5;7;1;1;833623;5015084,87690932;1571143,8852854;3374584;7540128,89355486;1,8479769645982;5878,86586107335
"41";25;2;3;1;1;3;1;1;2;1;1;1;1;2;2;1;1;1;1;2;2;2;2;1;2;2;1;2;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;1;1;3;;;1;;;;;1;1;3;;;;;;;;;;;;97;2;97;3;;1;2;5;7;1;3;158690;558890,888639288;216695,406122903;360279;1261071,51373576;0,289162127968898;364,011399933548
"42";52;2;1;1;2;2;1;1;2;1;1;1;1;2;2;1;1;1;1;1;2;2;2;1;2;2;1;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;2;1;2;;;;;1;;2;;;5;1;;;;;;;;;;;;97;2;97;2;1;4;5;2;4;1;2;284305;1794738,96348069;257001,457003131;1120373;2672927,86037804;0,275986834538287;1119,04976691808
"43";52;2;1;1;1;3;1;1;2;2;2;1;1;1;2;1;2;1;1;1;1;2;2;2;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;4;1;1;1;3;;;1;;;;;2;3;3;;;;;;;;;;;;97;2;97;4;2;4;5;6;7;1;3;253523;1794738,96348069;580938,21285206;831664;2672927,86037804;0,625974153060974;1653,97191406877
"44";22;3;1;1;1;3;1;1;1;1;1;1;2;2;2;1;1;1;1;1;1;1;2;1;1;2;1;2;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;1;1;2;;;;;1;;2;;;1;1;;;;;;;;;;;;97;2;97;2;1;4;2;6;5;1;3;109783;1038322,56423014;373762,796542349;371619;922649,581990075;0,215124176263052;542,247386531205
"45";11;3;1;2;2;3;1;1;1;1;1;1;2;2;2;1;1;1;1;1;1;1;2;2;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;1;2;;;;;2;2;2;;;2;2;;;;;;;;;;;;97;2;97;5;;4;1;1;4;1;2;110407;417290,54472708;60451,5413146817;381458;489760,972025484;0,121977839519357;508,481334713918
"46";26;2;1;2;1;3;1;1;1;1;1;1;1;2;1;1;1;1;2;1;2;2;2;2;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;1;1;1;2;2;;;;;;2;2;1;;;;;;;;;;;;97;2;97;4;;4;2;1;5;1;3;628474;2450940,03939033;1303862,0428603;943988;3214851,05338958;0,677977348931574;3494,28270961209
"47";53;2;1;1;1;3;1;1;1;1;1;1;1;2;2;1;1;1;1;2;2;2;2;2;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;1;1;2;;;;;1;;2;;;1;1;;;;;;;;;;;;97;2;97;5;3;4;5;1;5;1;3;195891;719504,381764959;352374,299331847;1192401;1144552,13203908;0,267853874329713;1749,06257556149
"48";51;2;2;1;97;3;2;1;2;1;1;3;2;2;2;1;1;1;2;2;2;2;3;2;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;1;1;1;2;1;;;;;;1;5;2;;;;;;;;;;;;97;2;97;4;;4;5;1;7;1;3;249756;931617,182877359;272982,733225318;264229;1228028,01092492;0,304507709752327;1239,64865233646
"49";25;3;1;1;1;3;1;1;1;1;1;2;1;2;2;1;2;1;1;2;2;2;2;2;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;1;1;2;;;;;1;;2;;;2;1;;;;;;;;;;;;97;2;97;3;2;3;2;4;5;1;2;162330;558890,888639288;472710,19115071;440095;1261071,51373576;0,289162127968898;931,316638875995
"50";41;2;1;1;3;4;2;3;3;2;3;3;2;1;2;1;1;1;1;1;1;2;1;2;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;1;1;2;;;;;2;2;2;;;1;2;;;;;;;;;;;;97;2;97;2;0;1;4;9;5;1;2;319233;3116799,95964981;1395869,7336891;1961988;4217476,99265909;0,731600762477492;3652,94679666903
"51";27;2;1;2;1;3;1;1;2;1;1;1;1;2;1;1;1;1;1;2;1;2;2;2;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;1;2;2;2;2;2;2;2;2;2;2;2;3;2;1;2;;;;;2;2;2;;;1;2;;;;;;;;;;;;97;2;97;2;;1;2;1;4;1;2;233839;347379,428715892;111536,828883944;295016;1002970,89902313;0,423644342228565;2235,22987360759
"52";33;3;1;1;1;3;1;1;1;1;1;1;1;2;2;1;1;1;1;1;2;2;2;1;1;2;1;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;1;1;1;1;;;;;;;1;1;3;;;;;;;;;;;;97;2;97;4;;4;3;1;7;1;3;979875;3639495,50891637;1603480,3944896;3855378;6815646,96134305;6,18437544179183;38532,473373437
"53";43;2;3;2;2;3;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;1;1;3;;;1;;;;;1;3;3;;;;;;;;;;;;97;2;97;1;;5;4;7;7;1;3;367206;1020946,74887335;884736,499947764;607675;4029583,56019369;1,50685121587876;1793,83671771344
"54";25;2;1;1;1;3;2;1;2;1;1;1;2;1;2;1;1;1;2;2;2;2;2;1;1;2;1;2;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;2;2;2;2;2;2;2;2;2;2;2;1;4;1;1;1;1;1;;;;;;;1;6;3;;;;;;;;;;;;97;2;97;4;2;1;2;5;7;1;2;158690;558890,888639288;216695,406122903;440095;1261071,51373576;0,289162127968898;473,415566342984
"55";29;1;1;2;2;3;1;1;1;1;2;2;1;1;2;1;1;1;1;2;1;2;2;2;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;4;1;1;1;3;;;1;;;;;1;1;97;;;;;;;;;;;;97;2;97;3;0;4;2;5;7;1;3;605895;4654381,54144773;706222,509195263;1363516;4325699,27241818;1,07752022328331;1137,838983752
"56";32;3;1;1;1;3;1;1;1;1;3;1;1;1;2;1;1;1;1;2;2;2;2;1;1;2;1;2;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;1;2;2;2;2;1;2;2;2;2;2;1;2;2;1;1;3;;;2;;;;;1;2;1;;;;;;;;;;;;97;2;97;4;1;1;3;5;2;1;2;161363;617235,410045042;391128,502789896;851322;1391016,9466393;0,650404023524547;3139,92601527549
"57";26;2;1;1;1;2;1;1;2;1;1;1;3;2;2;1;1;1;1;1;2;2;2;2;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;;;;;2;2;2;;;1;2;;;;;;;;;;;;97;2;97;4;0;1;2;8;2;1;2;270409;1291570,96060967;877717,02654698;1591517;3214851,05338958;0,677977348931574;5246,03003615057
"58";42;3;1;2;1;3;4;1;1;1;1;1;1;2;2;1;1;1;1;1;1;2;2;2;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;4;1;1;1;3;;;1;;;;;1;1;2;;;;;;;;;;;;97;2;97;3;0;1;4;8;7;1;2;238757;2467119,66278606;658394,585312965;1498571;2721026,22704136;0,704496739378584;1434,48622532064
"59";41;3;1;1;1;4;1;1;1;1;1;1;1;2;3;1;1;1;1;1;1;2;1;1;1;2;1;2;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;1;1;1;3;;;1;;;;;2;5;1;;;;;;;;;;;;97;2;97;3;2;4;4;3;5;1;2;443806;1602828,04035019;1395869,7336891;1961988;4217476,99265909;1,09731593661602;5166,36291247263
"60";43;3;3;1;2;4;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;1;1;2;1;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;4;2;1;2;;;;;1;;2;;;1;3;;;;;;;;;;;;97;2;97;3;1;1;4;4;6;1;3;421822;3610129,25112665;333318,973267257;607675;4029583,56019369;1,03538086880076;2028,2680537716
