ID;P03;P04;P05;P06;P071;P072;P073;P08;P091;P092;P093;P094;P095;P096;P097;P098;P10;P11;P12;P13;P14;P15;P16;P17;P181;P182;P183;P184;P185;P186;P19;P2001;P2002;P2003;P2004;P2005;P2006;P2007;P2008;P2009;P2010;P211;P212;P213;P214;P215;P216;P22;P23;P24;P25;P26;P27;P28;P29;P30;P31;P33;P35;VD_IDADE;VD_RENDA;VD_RELIGIÃO;VD_RACA;W1;W2
25;4;3;1;2;1;2;2;3;2;2;2;1;2;2;2;2;3;1;1;1;1;1;3;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;1;4;4;2;1;3;0.8879382632;68740.05
26;4;3;1;1;2;1;1;2;1;1;2;1;2;2;2;2;3;1;1;97;1;1;3;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;4;3;3;3;0.8879382632;68740.05
27;4;2;3;3;2;2;1;2;2;2;2;1;1;2;2;1;2;1;1;2;1;1;7;1;1;2;2;1;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;4;3;3;1;0.8879382632;68740.05
28;4;3;2;2;1;2;2;2;2;2;2;1;2;1;2;2;2;1;1;2;1;1;8;1;1;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;;;8;7;;;3;4;2;5;1;2;2;3;0.8879382632;68740.05
29;4;2;3;3;2;1;1;2;2;1;2;1;1;1;1;2;1;1;1;1;1;1;2;1;2;2;1;2;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;5;1;2;2;3;0.8879382632;68740.05
30;4;3;1;1;1;2;1;2;2;1;2;1;2;2;2;2;2;1;1;2;1;1;3;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;3;4;4;4;1;3;0.8879382632;68740.05
31;4;2;1;2;1;1;1;2;2;1;2;1;1;2;2;2;2;1;1;1;1;1;7;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;5;1;2;1;3;0.8879382632;68740.05
32;4;2;97;2;1;1;1;2;2;2;2;2;2;2;2;1;3;1;2;1;1;2;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;6;2;;;4;;;;3;2;3;3;2;4;3;1;0.8879382632;68740.05
33;4;3;1;1;1;2;1;2;1;1;2;2;2;2;2;2;3;1;2;1;1;1;7;1;1;2;1;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;5;2;2;1;0.8879382632;68740.05
34;4;2;1;2;1;1;1;1;1;1;1;1;1;1;1;2;3;1;1;1;1;1;7;1;1;2;1;2;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;3;4;1;3;2;3;0.8879382632;68740.05
35;4;2;1;3;2;1;1;2;2;1;2;1;2;2;1;2;1;1;1;1;1;2;;1;2;2;2;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;1;1;2;;7;;;;3;1;3;4;2;4;2;1;0.8879382632;68740.05
36;4;3;3;1;2;1;2;2;2;2;2;2;2;1;2;2;3;1;2;1;1;1;3;1;2;2;2;1;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;5;4;3;1;3;0.8879382632;68740.05
37;4;2;2;1;1;1;2;1;2;2;2;1;2;2;2;2;3;1;1;1;1;1;7;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;8;3;2;1;3;0.8879382632;68740.05
38;4;2;1;2;2;1;1;2;2;2;2;1;1;1;2;2;1;1;1;1;1;1;7;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;5;1;2;3;3;0.8879382632;68740.05
39;4;2;1;1;2;2;1;2;2;2;2;1;2;2;2;2;2;1;1;1;1;1;7;1;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;2;3;2;3;0.8879382632;68740.05
40;4;2;1;1;2;1;2;2;2;2;2;1;2;1;1;2;2;1;2;1;1;1;7;1;1;2;1;2;1;2;1;2;2;1;2;2;2;2;2;2;2;1;2;1;2;2;2;1;2;;;1;;2;;3;1;3;5;3;3;1;1;0.8879382632;68740.05
41;4;3;1;3;2;2;1;3;2;2;2;1;2;2;2;2;3;1;2;2;1;1;8;1;2;1;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;3;2;2;3;0.8879382632;68740.05
42;4;3;3;3;1;2;2;2;1;2;2;2;2;1;1;2;2;1;1;2;1;97;;1;1;2;2;2;1;2;1;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;2;8;2;;;9;;;;3;1;3;97;4;1;1;3;0.8879382632;68740.05
43;4;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;;;;1;7;1;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;3;97;2;1;1;1;0.8879382632;68740.05
44;4;3;2;1;2;2;1;1;1;2;2;2;2;2;2;2;2;1;2;2;1;1;8;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;5;2;2;1;0.8879382632;68740.05
45;4;2;3;1;2;2;2;2;1;2;2;1;2;2;2;2;1;1;1;1;1;1;8;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;97;4;3;1;1;0.85875003;66144.75
46;4;3;1;1;1;2;2;3;1;2;2;2;2;2;2;2;3;1;2;1;1;1;3;1;1;2;2;2;2;2;1;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2;1;2;;;2;;3;;3;3;3;1;5;1;2;1;0.85875003;66144.75
47;4;2;1;1;1;1;2;2;2;1;1;2;2;2;2;2;2;1;1;1;1;1;3;1;1;2;1;2;2;2;1;1;2;2;1;2;2;2;2;2;2;1;2;1;2;2;2;8;2;;;2;;2;;2;2;2;6;2;2;1;3;0.85875003;66144.75
48;4;3;3;1;1;2;1;2;2;2;2;1;2;2;2;2;3;1;1;1;1;1;3;1;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;3;5;2;4;1;1;0.85875003;66144.75
