"ID";"P03";"P04";"P05";"P06";"P07";"P08_1";"P08_2";"P08_3";"P08_4";"P08_5";"P08_6";"P08_7";"P08_8";"P08_9";"P08_10";"P08_11";"P09";"P10";"P11";"P12_01";"P12_02";"P12_03";"P12_04";"P13";"P15";"P16";"P17_1";"P17_2";"P17_3";"P17_4";"P17_5";"P17_6";"P18_A";"P18_D";"P19_1";"P19_2";"P19_3";"P19_4";"P19_5";"P21_A";"P21_B";"P22_A";"P22_B";"P22_C";"P22_D1";"P22_E";"P23";"P25";"P26";"P28_1";"P28_2";"P28_3";"P28_4";"P28_5";"P28_6";"P28_7";"P28_8";"P28_9";"P29";"P30_01";"P30_02";"P30_03";"P30_04";"P30_05";"P30_06";"P30_07";"P30_08";"P30_09";"P30_10";"P30_11";"P30_12";"P33_1";"P33_2";"VD_P35";"P36";"P38";"P39";"P40";"P41";"V08";"V09";"V10";"V11";"V12";"V12_A";"V12_B";"V15";"VD_REGIAO";"VD_IDADE";"VD_RACA";"VD_EDUCACAO";"VD_OCUPACAO";"VD_TRABALHO";"VD_RENDA";"VD_RELIGIAO";"VD_PORTE";"POP_regiao_idade";"POP_regiao_raca";"POP_regiao_edu";"POP_regiao_porte";"W1";"W2"
"2384";3;2;1;1;4;2;2;2;2;2;1;2;2;2;0;0;1;1;5;1;1;1;1;2;1;1;1;2;2;2;2;2;1;1;1;1;1;1;1;1;;2;;;;3;1;2;2;2;2;2;2;2;2;2;1;2;97;2;2;2;2;2;2;2;2;2;2;2;2;;;1;1;1;3;4;1;3;1;2;2;1;2;;4;4;5;1;3;"2";2;97;1;2;3549069,08752912;10072401,6435758;3480847,43992385;5811472,35270075;0,248274657190241;13238,3122459609
"2385";3;1;1;1;3;1;1;2;1;1;2;2;2;2;0;0;2;2;5;1;1;2;2;2;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;2;;97;2;1;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;;;3;1;1;1;1;1;3;2;2;1;;;5;4;5;4;4;2;"1";1;1;2;3;1170024,49772926;3669920,78366589;1087421,42160812;2810671,34868652;0,255743900242304;3081,86208620678
"2386";1;2;1;1;3;2;2;2;1;2;2;2;2;2;0;0;2;3;3;1;1;1;2;2;3;1;1;2;1;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;1;2;2;2;1;2;2;2;1;2;2;2;6;1;1;1;2;1;1;;2;1;;;3;4;1;3;4;1;"1";1;1;1;1;1349979,57783012;5164153,94647996;2267202,44555839;2363871,19571558;0,370772993190994;24455,7322380287
"2387";2;3;2;1;4;2;2;2;1;2;2;1;2;2;0;0;2;1;2;2;1;2;2;2;3;1;1;2;2;2;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;1;2;2;2;2;2;2;2;2;2;1;1;5;3;1;1;1;1;2;2;2;1;;;5;4;2;2;4;1;"1";1;1;1;2;4474385,18221597;14898000,1979184;8995626,46137368;7731021,03806011;0,567016552780027;22252,8845816189
"2388";2;1;2;1;3;1;1;1;1;1;1;1;2;2;0;0;2;2;2;1;1;1;1;2;2;1;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;4;3;1;1;2;1;4;1;1;;;;2;4;4;2;1;4;"1";1;4;1;1;2252075,16102183;10072401,6435758;3392772,73855813;4835858,60259792;0,455385003963667;16054,7307054434
"2389";3;1;1;1;3;2;1;2;1;2;2;2;2;2;0;0;1;2;3;2;2;2;1;2;1;2;1;2;1;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;2;3;1;1;4;1;2;1;1;;;;1;4;1;2;4;2;"1";1;1;3;2;1410601,17309659;5164153,94647996;1128957,88513977;2828257,81207705;0,179930621055583;4055,32775699977
"2390";97;1;1;1;3;2;2;2;1;2;2;2;2;2;0;0;1;2;3;1;2;2;2;2;1;1;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;3;3;1;1;1;1;2;1;1;;;;4;4;5;1;4;2;"1";1;4;2;1;1628314,05813775;3669920,78366589;1087421,42160812;2153020,05470942;0,451813366522763;18058,4126567865
"2391";3;2;1;2;3;2;1;1;1;1;1;2;2;2;0;0;2;2;2;1;1;2;2;2;3;1;1;2;1;2;1;2;1;1;1;1;1;2;1;1;;;;2;;97;2;2;2;2;2;1;2;2;1;2;2;2;4;2;2;2;2;2;2;2;2;2;2;2;2;;;6;1;1;1;5;1;4;1;2;2;2;2;;4;1;4;4;4;"3";2;3;1;2;1088578,61259989;5164153,94647996;1499244,44762391;2828257,81207705;1,11231897957298;34564,6430917949
"2392";2;1;1;1;3;1;1;2;1;1;1;2;2;2;0;0;2;2;5;1;1;1;1;2;2;1;1;2;1;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;2;2;2;2;1;2;3;2;2;2;1;2;;4;2;1;4;2;"2";2;1;3;2;6037267,85338051;14898000,1979184;3762891,45355231;7731021,03806011;0,637632202876856;17991,650925765
"2393";3;1;2;2;2;2;2;2;1;1;1;2;2;2;0;0;2;2;3;1;2;2;2;2;1;1;1;2;2;2;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;1;2;2;2;2;2;2;2;2;2;1;1;2;3;1;1;6;1;2;2;1;;;;5;4;3;4;1;1;"1";1;3;1;1;6718284,41177193;21435571,5784308;10487709,0241656;8084671,29925415;1,37301394574092;66745,0176908427
"2394";2;1;2;1;3;1;2;2;1;2;2;2;2;2;0;0;1;1;1;1;1;2;1;2;1;3;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;4;97;1;2;1;2;4;1;2;1;;;7;2;4;1;1;4;"1";1;97;1;2;2651313,51254732;10072401,6435758;3392772,73855813;5811472,35270075;0,426501513466645;15479,3374055731
"2395";2;1;1;1;3;2;1;2;2;1;2;2;2;2;0;0;2;2;3;1;1;1;2;1;2;1;1;2;2;1;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;4;2;2;1;1;2;3;1;2;2;2;2;;4;1;1;4;3;"3";2;3;1;2;2120604,22046604;5164153,94647996;2358346,69976694;2828257,81207705;0,179930621055583;10982,7120575446
"2396";3;5;1;1;3;2;2;2;2;2;2;1;2;2;0;0;1;3;5;1;1;1;1;2;2;1;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;2;2;1;2;1;2;2;2;2;1;1;6;3;1;2;2;1;3;1;2;2;2;2;;1;4;4;1;3;"3";2;4;1;3;2356901,94647081;10072401,6435758;3480847,43992385;2443804,96747532;1,366155011891;28991,0647991496
"2397";3;3;1;1;3;1;1;1;1;1;1;2;2;2;0;0;2;2;3;1;1;1;2;2;3;2;1;2;1;2;1;2;1;1;2;2;1;2;1;5;;;;;;;2;2;1;2;2;1;1;2;1;2;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;1;1;5;3;2;2;1;2;3;2;1;;;;3;4;1;1;4;2;"1";1;1;2;2;2120604,22046604;5164153,94647996;1128957,88513977;2828257,81207705;0,179930621055583;8474,28064070793
"2398";3;1;1;1;3;1;2;1;1;1;1;1;2;2;0;0;2;3;5;1;1;1;2;2;2;1;1;1;1;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;1;2;2;2;2;1;1;4;2;1;1;2;1;3;1;2;2;1;2;;4;2;3;4;3;"2";2;97;2;3;4595041,07124126;14898000,1979184;7259394,23046714;5881277,34048095;0,580278168423321;11128,1875097476
"2399";3;3;1;1;3;1;1;1;1;1;1;1;2;2;0;0;1;2;5;1;2;1;2;1;3;1;2;1;1;1;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;5;2;1;3;2;1;4;1;1;;;;1;4;2;2;4;4;"1";1;4;3;2;4474385,18221597;14898000,1979184;4208133,6330169;7731021,03806011;0,580278168423321;12714,0977910775
"2400";2;1;1;3;3;2;1;2;1;2;2;2;2;2;0;0;2;1;3;1;1;2;2;2;1;1;1;2;1;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;1;1;1;1;1;2;4;1;1;;;;1;4;4;1;1;4;"1";1;3;2;1;2651313,51254732;10072401,6435758;3392772,73855813;4835858,60259792;0,426501513466645;22556,9815172688
"2401";2;1;1;1;3;2;1;2;1;2;1;1;2;2;0;0;2;2;3;1;2;2;2;2;1;3;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;5;2;2;1;1;1;3;1;2;2;1;1;;4;3;1;4;3;"2";2;1;3;3;8292998,1115813;14014348,5743857;12322615,2408783;16041980,2259275;6,75968167398173;158309,4332991
"2402";3;1;1;1;97;2;2;2;1;2;2;2;2;2;0;0;3;1;97;1;1;2;2;2;97;3;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;3;1;1;1;6;1;3;97;1;;;;97;97;4;5;1;1;"1";1;97;1;1;3549069,08752912;10072401,6435758;4175632,01705986;4835858,60259792;0,455385003963667;45422,8615548638
"2403";3;3;1;1;3;2;2;2;1;2;1;2;2;2;0;0;1;1;2;1;1;1;1;2;1;2;2;2;1;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;4;3;2;2;2;1;4;1;1;;;;1;4;2;3;4;4;"1";1;4;2;3;4595041,07124126;14898000,1979184;4208133,6330169;5881277,34048095;0,580278168423321;6883,50582528406
"2404";2;1;2;1;2;2;2;2;1;2;2;1;2;2;0;0;2;1;2;1;1;1;1;2;1;3;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;4;3;1;1;1;2;3;2;2;2;1;2;;3;1;1;4;2;"2";2;1;1;2;2120604,22046604;5164153,94647996;1128957,88513977;2828257,81207705;0,22261227921727;10484,4796126837
"2405";2;2;1;1;4;2;2;2;1;2;2;2;2;2;0;0;2;3;5;1;2;2;2;2;1;3;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;6;3;1;2;6;1;2;1;1;;;;5;1;4;3;1;2;"1";1;3;1;2;2281776,21520491;10072401,6435758;2041883,72723215;5811472,35270075;0,455385003963667;9991,06845653677
"2406";3;1;1;1;3;1;1;2;1;1;1;1;2;2;0;0;2;2;5;1;1;1;1;2;1;1;1;2;1;2;2;2;1;1;1;2;1;2;1;3;;;;1;;;2;2;2;2;1;1;1;2;2;2;2;2;5;2;2;2;2;2;2;2;2;2;2;2;2;;;4;1;2;1;1;1;3;2;2;1;;;5;4;3;2;4;2;"1";1;1;2;3;6626547,21734997;14014348,5743857;5696273,08719308;16041980,2259275;5,49917220981416;50813,990172062
"2407";2;3;2;1;3;1;2;2;2;2;2;2;2;2;0;0;2;3;5;1;1;2;2;2;2;2;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;4;2;1;1;2;1;3;1;1;;;;3;4;3;4;1;3;"1";1;3;2;2;6718284,41177193;21435571,5784308;12322615,2408783;15599497,5813694;1,87179217291575;103081,562858008
"2408";3;2;2;1;4;1;2;2;1;2;2;2;2;2;0;0;2;2;3;1;2;2;2;2;2;1;1;2;2;2;2;2;1;1;1;2;2;2;2;1;;2;;;;1;2;1;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;2;1;2;2;2;2;1;1;4;1;2;1;5;1;3;2;2;2;2;1;;4;3;4;3;2;"3";2;1;1;2;6718284,41177193;568420,29115562;5696273,08719308;15599497,5813694;3,7435843458315;42678,9815460631
"2409";3;1;3;1;4;2;2;2;1;2;1;2;2;2;0;0;2;1;97;1;1;1;1;2;3;3;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;2;3;1;2;4;1;5;;2;2;2;2;;4;2;5;4;1;"3";2;1;2;3;5236594,20628577;14898000,1979184;8995626,46137368;5881277,34048095;0,695186851079864;41771,7380274943
