"ID";"P03";"P04";"P05";"P06";"P07";"P08_1";"P08_2";"P08_3";"P08_4";"P08_5";"P08_6";"P08_7";"P08_8";"P08_9";"P08_10";"P08_11";"P09";"P10";"P11";"P12_01";"P12_02";"P12_03";"P12_04";"P13";"P15";"P16";"P17_1";"P17_2";"P17_3";"P17_4";"P17_5";"P17_6";"P18_A";"P18_D";"P19_1";"P19_2";"P19_3";"P19_4";"P19_5";"P21_A";"P21_B";"P22_A";"P22_B";"P22_C";"P22_D1";"P22_E";"P23";"P25";"P26";"P28_1";"P28_2";"P28_3";"P28_4";"P28_5";"P28_6";"P28_7";"P28_8";"P28_9";"P29";"P30_01";"P30_02";"P30_03";"P30_04";"P30_05";"P30_06";"P30_07";"P30_08";"P30_09";"P30_10";"P30_11";"P30_12";"P33_1";"P33_2";"VD_P35";"P36";"P38";"P39";"P40";"P41";"V08";"V09";"V10";"V11";"V12";"V12_A";"V12_B";"V15";"VD_REGIAO";"VD_IDADE";"VD_RACA";"VD_EDUCACAO";"VD_OCUPACAO";"VD_TRABALHO";"VD_RENDA";"VD_RELIGIAO";"VD_PORTE";"POP_regiao_idade";"POP_regiao_raca";"POP_regiao_edu";"POP_regiao_porte";"W1";"W2"
"1";2;1;2;1;3;1;1;1;1;1;1;1;2;1;0;0;3;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;4;3;1;1;2;1;2;2;2;1;;;3;2;5;2;4;1;"1";1;1;1;2;1265229,88040335;3669920,78366589;1976804,0794201;1954125,97753969;0,182984706628559;4534,25549229278
"2";2;1;1;1;3;1;1;1;1;1;1;1;2;1;0;0;1;2;5;1;2;1;1;2;1;3;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;1;1;1;3;1;1;;;;5;4;4;3;1;3;"1";1;97;3;3;2281776,21520491;10072401,6435758;3480847,43992385;2443804,96747532;0,426501513466645;8180,63123796325
"3";3;1;2;1;3;1;1;1;1;1;1;1;2;1;0;0;2;3;4;1;1;1;2;2;1;1;1;2;1;2;2;2;1;1;2;2;1;2;2;97;;;;;;;2;2;2;97;97;97;97;97;97;97;97;2;5;2;2;2;2;2;2;1;2;2;2;2;2;1;1;2;1;2;1;3;1;2;2;1;;;;5;97;1;3;4;1;"1";1;97;2;2;1349979,57783012;5164153,94647996;2267202,44555839;2828257,81207705;0,239731863563941;11515,8941166617
"4";3;2;1;1;3;1;1;1;1;1;1;1;2;1;0;0;1;1;3;1;1;1;1;2;1;1;1;1;1;2;1;2;1;1;2;2;1;2;1;1;;1;;;;;1;1;1;2;2;1;2;2;2;2;2;2;5;1;2;1;2;2;2;1;2;2;2;2;2;1;1;3;3;1;1;2;1;4;1;1;;;;2;1;2;3;1;4;"1";1;4;1;2;4595041,07124126;6273888,68778369;4208133,6330169;7731021,03806011;0,580278168423321;14688,6611390481
"5";2;1;2;1;3;1;1;1;1;1;1;1;2;1;0;0;2;2;3;1;1;1;2;2;2;1;1;1;1;1;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;6;3;1;2;2;1;3;1;1;;;;1;4;1;3;4;3;"1";1;3;3;2;1349979,57783012;5164153,94647996;2358346,69976694;2828257,81207705;0,179930621055583;6290,35733230617
"6";2;1;1;1;3;1;1;1;1;1;1;1;2;1;0;0;1;2;3;1;1;1;1;2;1;1;2;1;1;2;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;2;3;1;1;2;2;6;;1;;;;1;4;4;1;1;4;"1";1;4;1;2;2651313,51254732;10072401,6435758;3392772,73855813;5811472,35270075;0,573227083572636;20804,5579123775
"7";2;3;1;2;3;1;1;1;1;1;1;1;2;1;0;0;2;2;3;2;2;2;1;1;2;1;1;2;1;2;1;2;1;1;1;2;1;2;1;3;;;;1;;;2;2;2;2;2;2;2;2;2;2;2;1;3;2;2;2;2;2;2;2;2;2;2;2;2;;;3;2;2;1;6;1;3;2;2;2;1;2;;4;4;2;1;2;"2";2;4;1;2;2252075,16102183;10072401,6435758;2041883,72723215;5811472,35270075;0,455385003963667;10547,5551902945
"8";3;3;1;1;3;1;1;1;1;1;1;1;2;1;0;0;2;2;3;2;2;1;2;2;1;1;1;1;1;1;1;1;1;1;2;1;2;2;1;7;;;;;;;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;;;1;2;2;1;1;2;4;1;1;;;;5;1;5;1;1;4;"1";1;1;3;3;1628314,05813775;2544897,92588269;1926584,00950762;2810671,34868652;0,333634274987034;8496,53982765699
"9";3;1;1;1;3;1;1;1;1;1;1;1;2;1;0;0;2;2;4;1;1;2;2;2;1;1;1;2;1;2;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;2;3;2;2;2;2;2;;1;4;1;1;2;"3";2;3;3;2;2651313,51254732;10072401,6435758;2041883,72723215;5811472,35270075;0,426501513466645;14819,3708038453
"10";3;3;1;1;3;1;1;1;1;1;1;1;2;1;0;0;1;3;3;2;2;1;1;2;2;1;1;2;1;2;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;3;2;1;1;2;1;3;1;2;1;;;5;2;5;3;1;3;"1";1;4;2;3;1357583,87039275;2544897,92588269;1927007,87039979;2810671,34868652;1,0009028249611;26566,6799667659
"11";2;1;1;1;3;1;1;1;1;1;1;1;2;1;0;0;2;1;4;1;1;1;2;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;3;;;;1;;;1;1;2;2;2;2;2;2;2;2;2;1;3;1;1;1;1;1;2;1;2;2;2;1;1;1;1;2;1;1;1;1;1;3;1;1;;;;5;97;3;1;2;3;"1";1;4;3;3;8292998,1115813;3707808,66257895;12322615,2408783;16041980,2259275;1,37301394574092;61887,5380639219
"12";2;3;1;1;2;1;1;1;1;1;1;1;2;1;0;0;1;2;5;1;1;1;1;2;2;1;1;2;1;2;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;3;1;1;1;1;1;4;1;1;;;;1;2;4;3;1;4;"1";1;4;2;3;2281776,21520491;10072401,6435758;3392772,73855813;2443804,96747532;0,910770007927334;12699,8234843132
"13";1;1;1;1;4;1;1;1;1;1;1;1;2;1;0;0;3;1;3;1;2;2;1;2;3;3;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;2;1;1;1;2;1;3;2;2;1;;;5;4;3;3;4;2;"1";1;1;2;1;7214590,0083199;14014348,5743857;5696273,08719308;8084671,29925415;1,37301394574092;20284,774410702
"14";3;2;2;1;3;1;1;1;1;1;1;1;2;1;0;0;1;3;2;1;1;1;2;2;1;1;1;2;1;2;2;2;1;1;1;2;1;2;2;1;;2;;;;1;2;2;2;2;2;2;2;2;2;2;1;2;5;2;2;2;2;2;2;2;2;2;2;2;2;;;4;3;2;1;2;1;3;1;2;2;1;1;;4;5;3;4;3;"2";2;1;3;1;1357583,87039275;3669920,78366589;1927007,87039979;2153020,05470942;0,451813366522763;20996,9088905345
"15";2;1;2;1;3;1;1;1;1;1;1;1;2;1;0;0;2;2;3;1;1;1;2;2;1;2;1;2;1;2;1;2;1;1;1;2;1;2;1;1;;2;;;;1;1;2;2;2;1;2;2;2;2;2;2;2;2;1;1;1;2;2;2;1;1;2;1;1;1;1;2;2;2;1;1;1;1;2;2;2;2;1;1;;4;4;1;4;1;"2";2;1;1;3;2651313,51254732;2358209,30927529;4175632,01705986;2443804,96747532;0,573227083572636;14929,9028413106
"16";2;3;97;2;97;1;1;1;1;1;1;1;2;1;0;0;2;2;5;1;2;2;2;1;1;3;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;2;3;1;1;4;1;2;2;2;2;2;2;;4;3;5;1;1;"3";2;1;1;1;10873729,3575279;21435571,5784308;10487709,0241656;8084671,29925415;1,06851930192143;69783,5175181734
"17";3;1;1;1;3;1;1;1;1;1;1;1;2;1;0;0;2;1;2;1;2;1;1;2;1;2;2;2;1;1;1;2;1;1;1;2;2;2;2;1;;2;;;;1;2;2;2;2;2;1;1;2;2;2;2;2;4;2;2;2;2;2;2;2;2;2;2;2;2;;;3;2;1;1;1;1;3;1;1;;;;1;3;4;2;1;3;"1";1;4;1;2;2252075,16102183;10072401,6435758;3480847,43992385;5811472,35270075;0,573227083572636;19076,5423248511
"18";3;2;1;1;3;1;1;1;1;1;1;1;2;1;0;0;1;2;3;1;1;2;2;2;3;3;;;;;;;1;1;1;2;1;2;2;1;;2;;;;1;2;2;2;2;1;2;1;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;;;4;3;1;2;1;1;3;2;2;2;2;2;;2;2;2;4;2;"3";2;3;2;3;4474385,18221597;14898000,1979184;3762891,45355231;5881277,34048095;0,66433961503718;5983,47785767692
"19";3;2;1;1;2;1;1;1;1;1;1;1;2;1;0;0;1;1;3;1;2;1;2;2;1;1;1;2;1;1;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;3;2;2;2;1;2;4;2;2;2;2;2;;4;2;1;2;4;"3";2;4;2;2;6037267,85338051;2834846,37084543;4208133,6330169;7731021,03806011;0,811231194896883;21464,5550336775
"20";3;1;1;1;3;1;1;1;1;1;1;1;2;1;0;0;2;2;4;1;2;1;1;2;2;1;1;2;1;2;1;2;1;1;2;2;1;2;1;2;;;2;;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;2;1;2;2;2;1;2;2;2;5;2;1;3;1;2;4;2;1;;;;1;4;5;1;4;4;"1";1;4;1;2;1628314,05813775;3669920,78366589;1926584,00950762;1954125,97753969;0,333634274987034;8501,16346198664
"21";3;1;1;1;3;1;1;1;1;1;1;1;2;1;0;0;1;2;3;1;1;1;2;2;2;1;1;1;1;1;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;3;2;2;1;1;2;4;1;1;;;;5;4;2;1;2;4;"1";1;97;2;3;6037267,85338051;2834846,37084543;4208133,6330169;5881277,34048095;0,580278168423321;7762,99222560431
"22";2;3;1;1;3;1;1;1;1;1;1;1;2;1;0;0;2;2;3;1;2;2;2;2;2;1;1;2;1;2;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;2;1;1;2;2;1;4;1;1;;;;1;4;5;3;4;4;"1";1;4;1;3;1357583,87039275;3669920,78366589;1926584,00950762;2810671,34868652;0,255743900242304;4025,15741006033
"23";3;2;1;1;3;1;1;1;1;1;1;1;2;1;0;0;2;2;3;1;1;1;1;2;2;1;1;2;1;2;1;2;1;1;1;2;1;2;1;1;;2;;;;1;2;2;2;2;1;2;1;2;2;2;2;2;4;1;2;2;2;2;2;2;2;2;2;1;2;1;1;4;1;1;1;1;1;2;2;2;1;;;1;4;1;4;4;1;"1";1;1;1;3;1088578,61259989;5164153,94647996;2267202,44555839;2061622,47029637;0,197654285882537;6693,13019174431
"24";3;2;1;1;3;1;1;1;1;1;1;1;2;1;0;0;1;1;4;1;1;2;2;1;2;3;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;1;1;1;1;1;2;3;2;2;2;2;2;;1;4;4;1;2;"3";2;3;3;2;2356901,94647081;10072401,6435758;2041883,72723215;5811472,35270075;0,248274657190241;6026,47761743459
"25";2;1;1;1;3;1;1;1;1;1;1;1;2;1;0;0;2;2;3;1;2;2;2;2;2;1;1;2;1;1;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;4;2;1;1;2;1;4;1;2;2;2;2;;4;1;2;1;4;"3";2;3;2;2;1410601,17309659;1440823,54572169;1499244,44762391;2828257,81207705;0,958927454255763;22557,8882537862
"26";3;2;1;1;3;1;1;1;1;1;1;1;2;1;0;0;2;1;4;1;2;2;2;2;1;1;2;2;1;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;5;2;2;1;2;1;4;1;2;2;2;2;;4;3;3;1;4;"3";2;4;3;2;7214590,0083199;21435571,5784308;11219551,754314;15599497,5813694;1,87179217291575;42429,6559205853
"27";3;1;1;1;3;1;1;1;1;1;1;1;2;1;0;0;2;3;5;1;2;1;2;2;2;2;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;3;3;1;1;6;2;4;2;1;;;;1;4;4;1;1;4;"1";1;4;2;2;2651313,51254732;10072401,6435758;3392772,73855813;5811472,35270075;0,85300302693329;30958,6748111462
"28";3;2;1;1;4;1;1;1;1;1;1;1;2;1;0;0;2;2;3;1;1;1;1;2;2;1;2;1;1;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;1;2;2;2;1;1;5;2;1;2;1;2;3;1;1;;;;1;2;3;2;4;3;"1";1;3;1;3;6626547,21734997;14014348,5743857;12322615,2408783;16041980,2259275;1,37301394574092;19874,4434448006
"29";3;2;1;1;3;1;1;1;1;1;1;1;2;1;0;0;2;2;4;2;2;2;2;2;2;1;1;2;1;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;5;2;2;1;2;1;4;1;1;;;;5;4;2;2;4;4;"1";1;1;1;1;4474385,18221597;14898000,1979184;4208133,6330169;10613747,399869;1,13403310556005;43526,1064612723
"30";3;1;1;1;3;1;1;1;1;1;1;1;2;1;0;0;2;2;3;2;2;1;2;2;3;3;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;1;2;2;2;2;1;1;6;3;1;1;2;1;3;1;2;2;1;2;;4;2;1;4;3;"2";2;1;2;2;6037267,85338051;14898000,1979184;7259394,23046714;7731021,03806011;1,91289660863057;107326,87200279
"31";2;3;1;1;3;1;1;1;1;1;1;1;2;1;0;0;1;2;3;2;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;;2;;;;1;2;2;2;2;2;2;2;2;2;2;1;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;4;2;2;1;1;2;4;1;1;;;;6;3;1;1;2;4;"1";1;1;3;1;2120604,22046604;549242,77217448;1499244,44762391;2363871,19571558;0,197654285882537;10736,4744307341
"32";2;1;1;2;3;1;1;1;1;1;1;1;2;1;0;0;2;1;3;1;1;2;2;2;1;1;2;2;1;2;2;2;1;1;2;2;2;1;2;1;;;;2;;1;2;2;2;2;2;2;1;2;2;2;2;2;4;2;2;2;2;2;2;2;2;2;2;2;2;;;3;1;1;2;4;1;4;1;2;2;2;2;;4;1;2;4;4;"3";2;3;2;2;1410601,17309659;5164153,94647996;1499244,44762391;2828257,81207705;0,21035526357934;4529,29323061078
"33";3;2;1;1;3;1;1;1;1;1;1;1;2;1;0;0;1;2;4;1;1;1;1;1;2;1;1;1;1;1;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;4;3;1;97;2;1;4;1;1;;;;4;4;4;2;1;4;"1";1;3;1;1;2252075,16102183;10072401,6435758;3392772,73855813;4835858,60259792;1,82154001585467;64218,9228217737
"34";2;1;2;1;3;1;1;1;1;1;1;1;2;1;0;0;1;1;3;1;1;1;2;2;2;3;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;2;1;2;1;1;1;4;1;2;2;1;2;;4;2;3;4;4;"2";2;1;1;3;4595041,07124126;14898000,1979184;4208133,6330169;5881277,34048095;0,609870137814548;7234,53832102589
"35";2;2;1;1;3;1;1;1;1;1;1;1;2;1;0;0;2;2;4;1;2;1;1;2;2;1;1;2;1;2;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;3;3;1;1;2;1;3;1;1;;;;2;4;3;5;1;3;"1";1;97;1;2;10873729,3575279;21435571,5784308;12322615,2408783;15599497,5813694;2,74958610490708;203431,065074087
"36";3;2;1;1;3;1;1;1;1;1;1;1;2;1;0;0;1;3;5;1;1;2;1;2;1;1;1;2;1;1;2;2;1;1;2;2;1;2;2;1;;1;;;;;2;2;1;2;2;2;2;2;1;2;2;2;5;2;2;2;2;2;2;2;2;2;2;2;2;;;3;3;1;3;2;1;4;2;1;;;;5;4;5;2;4;4;"1";1;97;3;2;1265229,88040335;3669920,78366589;1926584,00950762;1954125,97753969;0,182984706628559;3417,87144277572
"37";3;1;1;1;3;1;1;1;1;1;1;1;2;1;0;0;2;2;4;1;2;2;2;2;1;1;1;2;1;2;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;2;1;1;1;1;1;4;2;1;;;;1;97;5;1;1;4;"1";1;1;2;2;1628314,05813775;2544897,92588269;1926584,00950762;1954125,97753969;0,225906683261382;7743,00214090168
"38";3;2;1;1;4;1;1;1;1;1;1;1;2;1;0;0;2;1;5;1;2;1;1;2;1;1;2;2;1;2;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;2;2;2;2;1;2;2;2;2;2;1;1;5;2;2;1;2;1;3;1;1;;;;4;4;5;1;1;3;"1";1;4;2;3;1628314,05813775;2544897,92588269;1927007,87039979;2810671,34868652;0,255743900242304;8165,29561439835
"39";2;1;1;1;3;1;1;1;1;1;1;1;2;1;0;0;2;2;4;1;1;2;1;2;1;2;2;2;1;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;4;2;2;2;1;1;4;1;2;2;1;2;;4;2;1;2;4;"2";2;97;1;3;6037267,85338051;2834846,37084543;4208133,6330169;5881277,34048095;0,661613246968632;8851,09723588199
"40";3;1;1;1;3;1;1;1;1;1;1;1;2;1;0;0;2;1;3;1;1;2;2;2;1;2;2;2;1;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;3;3;1;2;1;2;4;1;1;;;;2;4;4;1;1;4;"1";1;4;1;2;2651313,51254732;10072401,6435758;3392772,73855813;5811472,35270075;0,455385003963667;16527,6274602086
"41";2;1;2;1;3;1;1;1;1;1;1;1;2;1;0;0;1;1;2;1;1;1;1;2;1;3;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;3;2;2;2;1;2;3;1;2;2;2;2;;4;3;1;1;3;"3";2;97;2;2;8292998,1115813;21435571,5784308;12322615,2408783;15599497,5813694;1,87179217291575;92888,0182935372
"42";3;2;1;1;4;1;1;1;1;1;1;1;2;1;0;0;1;2;3;1;1;2;2;2;1;1;1;2;1;1;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;2;2;2;2;2;2;4;1;2;2;2;2;;1;3;2;1;4;"3";2;4;3;3;6626547,21734997;21435571,5784308;11219551,754314;16041980,2259275;0,965593794284431;14282,2875018431
"43";3;2;1;1;4;1;1;1;1;1;1;1;2;1;0;0;2;2;5;1;1;2;2;2;1;1;1;2;2;1;1;2;1;1;1;2;2;1;1;20;;;;;;;2;2;2;2;1;2;2;2;2;2;2;2;5;2;2;2;2;2;2;2;2;2;2;2;2;;;3;2;2;1;6;1;4;1;1;;;;2;3;4;2;1;4;"1";1;4;1;1;2252075,16102183;10072401,6435758;3392772,73855813;4835858,60259792;1,14645416714527;40418,5749628226
"44";3;2;1;2;3;1;1;1;1;1;1;1;2;1;0;0;2;2;5;2;2;2;2;2;1;1;1;2;2;2;2;2;1;1;1;1;1;1;1;3;;;;1;;;1;1;2;2;2;2;1;2;2;2;2;2;3;1;1;1;2;1;2;1;1;2;2;1;1;1;1;5;3;1;2;1;1;3;2;1;;;;5;4;4;1;4;2;"1";1;3;1;2;2651313,51254732;2358209,30927529;2041883,72723215;5811472,35270075;0,455385003963667;10568,3954635974
"45";3;1;1;1;3;1;1;1;1;1;1;1;2;1;0;0;1;3;4;2;1;2;1;2;2;3;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;2;1;1;1;1;1;4;1;2;2;2;2;;1;5;2;4;4;"3";2;97;3;3;1265229,88040335;3669920,78366589;1926584,00950762;2810671,34868652;0,333634274987034;4630,23173149224
"46";3;3;1;1;4;1;1;1;1;1;1;1;2;1;0;0;2;2;5;1;1;1;1;2;1;1;97;97;97;97;97;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;4;1;1;1;2;1;4;1;2;2;1;1;;97;2;3;4;4;"2";2;97;2;1;4595041,07124126;14898000,1979184;4208133,6330169;10613747,399869;2,64645298787453;108766,896029867
"47";3;1;1;1;3;1;1;1;1;1;1;1;2;1;0;0;2;2;2;1;2;2;2;2;1;2;1;2;2;2;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;6;2;2;1;1;1;3;1;2;2;1;2;;97;1;1;1;3;"2";2;97;2;3;2120604,22046604;1440823,54572169;2358346,69976694;2061622,47029637;0,22261227921727;8678,75304089354
"48";3;1;1;1;4;1;1;1;1;1;1;1;2;1;0;0;3;2;5;1;2;2;2;2;1;1;1;2;1;2;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;4;2;1;2;1;1;3;2;1;;;;5;4;3;2;1;2;"1";1;1;3;3;6626547,21734997;21435571,5784308;5696273,08719308;16041980,2259275;1,35193633479635;20389,4876098739
"49";2;3;2;1;3;1;1;1;1;1;1;1;2;1;0;0;3;1;2;1;2;1;1;2;1;3;;;;;;;1;1;1;2;1;1;1;1;;2;;;;1;2;2;2;2;2;1;2;2;1;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;;;3;1;2;1;1;1;3;2;1;;;;1;97;4;3;4;2;"1";1;1;1;1;2281776,21520491;2358209,30927529;2041883,72723215;4835858,60259792;1,14645416714527;24481,5926015009
"50";3;1;1;1;2;1;1;1;1;1;1;1;2;1;0;0;2;2;1;1;2;2;2;2;1;2;1;1;1;2;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;2;2;2;2;2;2;2;2;2;2;2;2;5;2;2;1;1;2;2;2;2;1;;;2;4;4;1;2;1;"1";1;1;3;3;2651313,51254732;574737,76914959;4175632,01705986;2443804,96747532;0,85300302693329;20434,9721495338
"51";3;2;2;1;3;1;1;1;1;1;1;1;2;1;0;0;2;2;4;2;2;2;2;2;1;1;1;2;1;1;2;2;1;1;1;2;2;2;1;9;;;;;;;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;;;1;1;1;1;1;2;3;1;1;;;;1;4;1;1;4;3;"1";1;1;3;3;2120604,22046604;5164153,94647996;2358346,69976694;2061622,47029637;0,179930621055583;6420,63023691734
"52";2;3;1;2;3;1;1;1;1;1;1;1;2;1;0;0;1;2;3;1;1;1;2;2;1;2;1;2;1;1;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;2;3;1;1;2;2;4;1;1;;;;4;3;5;1;1;4;"1";1;4;2;3;1628314,05813775;2544897,92588269;1926584,00950762;2810671,34868652;0,333634274987034;8496,53982765699
"53";2;1;1;1;3;1;1;1;1;1;1;1;2;1;0;0;1;2;5;1;1;1;2;2;1;2;2;2;1;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;3;2;1;2;2;1;4;1;1;;;;1;2;3;3;1;4;"1";1;4;1;3;7214590,0083199;21435571,5784308;11219551,754314;16041980,2259275;2,74958610490708;48008,9025968614
"54";2;1;1;1;3;1;1;1;1;1;1;1;2;1;0;0;2;1;4;1;1;2;2;2;1;1;1;2;1;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;2;2;1;3;2;2;4;1;1;;;;1;1;3;2;1;4;"1";1;4;1;3;6626547,21734997;21435571,5784308;11219551,754314;16041980,2259275;1,37301394574092;20308,5189995904
"55";3;9;1;1;3;1;1;1;1;1;1;1;2;1;0;0;1;2;3;1;1;1;2;2;1;1;2;1;1;2;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;2;2;2;1;3;1;3;1;2;2;2;2;;4;2;3;4;3;"3";2;97;3;3;4595041,07124126;14898000,1979184;7259394,23046714;5881277,34048095;0,693394436865896;13297,455826445
"56";3;1;1;1;3;1;1;1;1;1;1;1;2;1;0;0;2;2;5;2;1;2;97;2;2;1;1;2;1;2;1;2;1;1;2;2;1;2;2;1;;1;;;;;1;2;1;2;2;1;1;2;2;2;2;2;6;2;1;97;2;2;2;1;1;2;2;2;2;1;2;4;3;1;1;6;1;3;1;1;;;;2;1;2;3;4;3;"1";1;3;1;2;4595041,07124126;14898000,1979184;7259394,23046714;7731021,03806011;2,55062083542682;96742,7512327488
"57";3;1;1;1;3;1;1;1;1;1;1;1;2;1;0;0;2;2;5;1;1;1;1;2;2;1;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;5;2;2;2;2;1;3;2;2;2;1;1;;4;3;1;4;2;"2";2;1;1;3;8292998,1115813;14014348,5743857;5696273,08719308;16041980,2259275;3,7435843458315;55967,2701043263
"58";2;2;1;1;3;1;1;1;1;1;1;1;2;1;0;0;2;2;2;1;1;2;1;2;1;2;2;2;2;1;1;2;1;1;2;2;1;1;1;20;;;;;;;1;1;2;2;2;1;2;2;2;2;2;2;3;1;1;1;2;2;1;1;2;2;2;2;2;1;1;3;2;2;1;1;1;4;2;1;;;;3;2;4;3;1;4;"1";1;97;3;2;2281776,21520491;10072401,6435758;3392772,73855813;5811472,35270075;1,1193762131541;25652,6293036348
"59";3;2;1;1;3;1;1;1;1;1;1;1;2;1;0;0;2;2;3;1;1;1;1;2;1;1;1;1;1;1;1;1;1;2;1;2;1;2;2;;5;;;;;;2;1;1;2;2;1;1;2;1;2;2;2;1;2;1;1;1;2;2;2;1;2;2;2;2;1;2;1;2;2;1;1;2;3;2;2;2;2;1;;1;3;1;1;2;"3";2;1;3;3;8292998,1115813;21435571,5784308;5696273,08719308;16041980,2259275;11,2307530374945;274043,478344112
"60";3;3;1;1;3;1;1;1;1;1;1;1;2;1;0;0;2;2;5;1;1;2;1;2;2;1;1;1;1;1;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;3;3;1;2;1;2;4;2;1;;;;6;1;5;1;2;4;"1";1;97;3;2;1628314,05813775;624691,97513099;1926584,00950762;1954125,97753969;0,182984706628559;5654,48741032669
