"ID";"P05";"P06";"P07";"P08";"P09";"P10_01";"P10_02";"P10_03";"P10_04";"P10_05";"P10_06";"P10_07";"P10_08";"P10_09";"P11";"P12";"P12_A";"P13_01";"P13_02";"P13_03";"P13_04";"P13_A";"P14";"P15";"P16";"P17";"P17_A_01";"P17_A_02";"P17_A_03";"P17_A_04";"P17_A_05";"P17_A_06";"P17_A_07";"P18";"P18_A";"P18_B";"P18_C_01";"P18_C_02";"P18_C_03";"P18_C_04";"P18_C_05";"P18_C_06";"P19";"P20_01";"P20_02";"P20_03";"P20_04";"P20_05";"P20_06";"P21_01";"P21_02";"P21_03";"P21_04";"P21_05";"P21_09";"P21_10";"P22_01";"P22_02";"P22_03";"P22_04";"P22_05";"P22_06";"P22_07";"P22_08";"P22_09";"P22_10";"P22_11";"P22_12";"P22_13";"P22_14";"P22_15";"P22_16";"P22_17";"P22_A";"P22_B";"P22_C";"P22_D";"P23";"P24";"P25";"P26";"P26_A";"P27";"P28_01";"P28_02";"P28_03";"P28_04";"P28_05";"P28_06";"P28_07";"P28_08";"P28_09";"P29";"P30_01";"P30_02";"P30_03";"P30_04";"P30_05";"P30_06";"P30_A_01";"P30_A_02";"P30_A_03";"P30_A_04";"P30_A_05";"P30_A_06";"P33";"P34";"P36";"P37";"P38";"VD_EDUCACAO";"VD_IDADE";"VD_REGIAO";"VD_OCUPACAO";"VD_RACA";"VD_RENDA";"VD_RELIGIAO";"POP_regiao_raca";"POP_regiao_idade";"POP_regiao_edu";"POP_regiao_trab";"W1";"W2"
"1";2;1;1;1;2;2;2;2;2;2;2;2;2;2;1;1;3;1;1;1;1;2;1;2;3;2;2;2;2;1;2;2;2;11;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;5;2;;2;5;3;3;4;2;1;13960677,4593904;8798165,98063689;5572409,50746999;15614797,7757141;0,633805540853956;22885,3266380617
"2";2;2;2;2;3;2;2;2;1;2;2;2;2;2;2;2;2;1;1;1;2;2;5;1;3;1;;;;;;;;11;1;1;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;4;1;;;3;4;2;1;1;4;1;2;4846039,7630248;1463776,52352921;1263379,16937145;2895396,97531023;0,770097073953619;27806,5146869789
"3";2;1;3;1;4;2;2;2;1;2;2;2;2;2;3;3;5;2;2;2;2;2;4;1;2;2;2;2;2;2;2;2;2;11;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;2;2;2;2;2;2;2;2;2;2;2;2;;;4;1;4;3;1;2;97;1;3804141,48667104;6329164,84158728;10649723,4784583;19008208,2217878;2,16947492141387;78334,976596678
"4";3;1;1;1;3;2;2;2;1;2;2;2;2;2;1;1;2;2;2;1;1;2;1;1;3;1;;;;;;;;11;1;1;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;4;2;;;1;4;1;4;1;1;2;2;9518913,45314225;2942917,92101343;3043136,18139733;6581932,49735434;0,916881875827821;33106,5916346626
"5";3;1;1;1;3;2;1;2;1;1;2;2;2;2;2;2;3;2;1;2;2;2;4;2;2;1;;;;;;;;11;1;1;1;2;2;2;2;2;1;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;2;2;2;2;;;;2;2;2;1;2;2;2;2;2;4;2;2;2;2;2;2;2;2;2;2;2;2;3;1;1;2;;3;2;5;3;4;2;2;3421308,1019427;1352560,93081092;1826530,14140164;2606884,35133205;1,28188405656327;46286,0190635883
"6";3;1;1;1;4;1;1;1;1;1;1;1;2;2;3;2;5;1;1;2;2;2;4;1;1;1;;;;;;;;11;1;2;2;2;2;2;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;3;1;4;2;;3;3;3;3;4;97;2;13960677,4593904;6591591,83579349;11830617,0641027;15614797,7757141;0,978124934974382;35317,9440488349
"7";2;1;1;1;3;1;2;2;2;2;2;2;2;2;1;2;2;1;1;1;1;2;4;1;3;97;;;;;;;;;1;1;1;2;1;2;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;4;2;6;1;;4;3;2;2;1;97;2;5740319,00842639;4033401,53710101;3915537,04929414;1833996,26932857;0,164083339222203;5924,68915450718
"8";2;1;2;1;3;2;2;2;1;1;2;2;2;2;3;1;3;2;2;2;2;2;2;1;3;2;2;2;2;1;2;2;2;11;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;3;1;6;1;;3;1;3;2;4;1;1;13960677,4593904;8791279,62274544;11830617,0641027;3097231,98911423;0,562483386870092;20310,0402367284
"9";2;2;1;1;3;2;2;2;1;2;2;2;2;2;2;1;3;1;2;1;1;2;4;1;3;97;;;;;;;;;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;4;1;4;2;;4;5;3;3;1;3;1;19504420,6018672;8798165,98063689;9667487,9365852;15614797,7757141;0,793361560421768;28646,5442190227
"10";2;2;1;2;3;2;2;2;1;1;2;2;2;2;2;2;3;1;1;1;2;2;2;1;3;2;2;2;2;1;2;2;2;4;1;1;1;2;1;2;2;2;1;1;2;1;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;;;;1;2;1;2;;;2;2;2;1;2;2;2;2;2;6;1;1;1;2;2;2;1;2;2;2;2;2;2;1;4;2;;2;4;3;3;1;97;1;19504420,6018672;6329164,84158728;5572409,50746999;15614797,7757141;0,969263633353515;34997,9819012041
"11";3;1;1;2;97;2;2;2;1;1;2;2;2;2;2;1;3;1;2;97;2;2;4;2;2;1;;;;;;;;4;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;4;1;5;3;1;4;1;2;13960677,4593904;8798165,98063689;10649723,4784583;19008208,2217878;1,62898689435118;58819,1405144856
"12";3;2;1;1;3;1;1;1;1;1;1;1;1;1;2;1;3;1;2;2;2;2;97;1;3;1;;;;;;;;4;1;1;1;1;2;2;1;2;1;1;2;1;2;1;2;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;2;2;1;2;;;2;2;2;2;1;2;2;2;2;4;1;2;1;2;2;2;1;1;2;2;2;2;3;2;;;2;2;3;3;1;4;3;96;13960677,4593904;6591591,83579349;5572409,50746999;19008208,2217878;0,640062513589681;23111,252187134
"13";2;1;1;1;3;2;2;2;1;2;2;2;2;2;2;3;4;1;2;2;2;2;4;1;3;2;2;2;2;1;2;2;2;11;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;4;2;;2;4;3;3;4;1;1;13960677,4593904;6329164,84158728;5572409,50746999;15614797,7757141;0,733066600674351;26469,4255927178
"14";3;2;1;1;3;2;2;2;1;2;2;2;2;2;2;3;5;1;2;1;2;2;4;2;1;1;;;;;;;;11;1;2;1;2;2;2;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;6;1;;2;3;3;2;4;2;1;13960677,4593904;6591591,83579349;5572409,50746999;3097231,98911423;0,265874552962722;9600,14641257697
"15";2;1;1;1;3;1;2;2;2;2;2;2;2;2;2;2;4;1;1;1;2;2;5;2;2;1;;;;;;;;12;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;3;1;2;2;;3;5;3;3;2;1;2;3804141,48667104;8798165,98063689;11830617,0641027;15614797,7757141;0,937578580205324;33853,9041926633
"16";3;1;1;1;3;2;2;2;1;1;2;2;2;2;2;2;2;1;2;2;2;2;1;1;3;1;;;;;;;;5;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;4;2;;;1;4;1;3;1;4;3;2;13960677,4593904;8791279,62274544;9667487,9365852;19008208,2217878;0,997860782401391;36030,5621717966
"17";3;1;1;1;3;2;2;1;1;2;2;2;2;2;2;3;5;1;2;2;2;2;4;1;2;1;;;;;;;;11;1;1;2;2;2;1;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;3;1;;;2;3;2;3;1;4;97;1;13960677,4593904;7210035,70585308;11830617,0641027;19008208,2217878;0,898097170666837;32428,3171708111
"18";2;3;1;3;4;2;2;2;2;2;2;1;2;2;2;1;2;1;1;2;1;2;1;1;3;1;;;;;;;;11;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;2;2;2;2;2;2;2;2;2;1;;;;4;1;4;3;1;1;1;1;19504420,6018672;6329164,84158728;10649723,4784583;19008208,2217878;2,49117064167147;89950,7028117604
"19";3;1;1;2;4;1;2;2;1;1;2;2;2;2;3;2;3;2;2;2;2;2;5;1;3;1;;;;;;;;4;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;4;2;;;1;4;1;4;1;4;2;2;2374569,89674108;2942917,92101343;3043136,18139733;6581932,49735434;0,653260912112953;23587,8173823474
"20";2;1;1;1;3;2;2;2;1;2;2;2;2;2;2;2;3;1;1;1;2;2;1;1;2;1;;;;;;;;5;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;4;1;;;3;4;2;3;1;1;2;1;19504420,6018672;7210035,70585308;9667487,9365852;19008208,2217878;0,87505721112098;31596,39481301
"21";2;1;1;1;3;2;2;2;1;2;1;2;2;2;2;2;3;1;1;1;1;2;3;1;3;2;2;2;2;1;2;2;2;11;1;2;2;2;2;2;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;4;2;;;1;4;4;3;1;4;2;1;13960677,4593904;6329164,84158728;9667487,9365852;19008208,2217878;0,583431852644378;21066,4433460557
"22";2;2;2;1;3;2;2;2;1;2;2;2;2;2;2;2;5;1;1;1;1;2;4;1;3;1;;;;;;;;11;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;4;1;;;2;4;4;3;1;1;97;1;19504420,6018672;6329164,84158728;9667487,9365852;19008208,2217878;0,771415962462424;27854,1368555742
"23";3;2;1;2;3;1;2;2;2;2;2;2;2;2;2;2;5;1;1;1;1;2;4;1;3;1;;;;;;;;11;1;1;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;4;1;;;3;4;3;5;1;4;3;96;3421308,1019427;1249912,24843949;1763115,81930727;3453128,1894327;0,568356941661204;20522,1214055677
"24";2;1;1;1;3;2;2;2;1;2;1;2;2;2;3;2;3;2;2;1;2;2;4;1;3;2;2;1;2;2;2;2;2;11;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;3;1;4;2;;3;5;3;3;1;2;1;19504420,6018672;8798165,98063689;11830617,0641027;15614797,7757141;1,0766053159745;38873,8544051751
"25";3;2;1;1;4;2;2;2;1;2;2;2;2;2;2;3;5;1;2;2;2;2;4;1;3;1;;;;;;;;5;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;4;1;7;2;;4;4;3;3;4;1;2;13960677,4593904;6329164,84158728;9667487,9365852;15614797,7757141;0,694000958912553;25058,8510325149
"26";3;2;1;1;2;2;2;2;1;2;2;1;2;2;1;1;3;2;1;2;2;2;4;1;3;2;2;1;2;2;2;1;2;5;1;1;1;2;2;2;1;2;1;1;2;2;2;2;2;2;2;1;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;;;;2;1;1;2;;;2;2;1;1;2;2;2;2;2;5;2;1;2;2;2;2;1;2;2;1;2;2;3;1;;;1;3;2;2;1;3;1;96;222828,22375231;4680529,27027831;6475161,96831011;9082972,15513015;0,182381557482968;6585,39764441393
"27";3;2;1;1;3;2;2;2;1;2;2;2;2;2;2;2;4;1;1;1;2;2;2;1;2;2;2;2;1;2;2;2;2;4;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;3;1;;;2;3;3;2;1;4;97;1;14461864,302681;4033401,53710101;6475161,96831011;9082972,15513015;0,612326411797507;22109,7624426215
"28";3;1;1;1;3;1;1;1;1;1;1;1;2;2;2;2;2;1;2;1;1;2;1;1;3;1;;;;;;;;11;1;1;1;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;1;2;2;2;;;;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;3;2;6;1;;2;1;3;2;1;1;2;19504420,6018672;8791279,62274544;5572409,50746999;3097231,98911423;0,578903509349608;20902,9348111028
"29";2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;1;3;1;2;2;2;2;1;1;3;1;;;;;;;;4;2;;;;;;;;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;;;;;2;2;2;;;;2;1;2;2;2;2;2;2;2;4;2;1;2;2;2;2;1;2;2;2;1;2;3;1;;;2;3;1;3;1;2;2;2;3804141,48667104;8791279,62274544;11830617,0641027;19008208,2217878;1,55921125973507;56299,6955323288
"30";3;1;1;1;3;2;1;2;2;2;2;2;2;2;1;1;1;2;2;1;2;2;4;1;3;1;;;;;;;;4;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;3;1;;;2;3;2;4;1;1;1;2;9518913,45314225;2302991,36657876;3336804,26555338;6581932,49735434;1,14072925376807;41189,2290226759
"31";3;4;1;1;3;1;1;1;1;1;1;1;1;2;2;2;2;2;1;2;2;2;1;1;1;1;;;;;;;;11;1;1;1;1;2;2;1;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;;;;2;2;1;2;;;2;2;2;2;2;2;2;2;1;5;2;2;2;2;2;2;2;2;2;2;2;2;3;1;;;3;3;3;3;1;1;3;96;19504420,6018672;6591591,83579349;11830617,0641027;19008208,2217878;1,08723363913512;39257,6198213279
"32";2;1;1;1;3;2;2;2;1;2;2;2;2;2;2;1;3;1;1;1;2;2;3;1;3;2;2;2;2;1;2;2;2;11;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;3;1;4;1;;3;2;2;2;4;1;1;14461864,302681;4680529,27027831;6475161,96831011;1833996,26932857;0,205665241555407;7426,12035980272
"33";2;1;1;1;3;2;2;2;2;2;2;1;2;2;2;1;3;1;2;2;1;2;3;1;3;2;1;2;2;2;2;2;2;5;1;1;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;4;1;;;3;4;2;2;1;4;3;2;14461864,302681;4680529,27027831;3915537,04929414;9082972,15513015;0,600820971169497;21694,326240325
"34";3;3;2;1;3;2;2;1;1;2;2;2;2;2;2;1;3;1;2;2;2;2;4;2;3;2;2;2;2;1;2;2;2;4;1;1;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;3;1;6;1;;3;3;2;2;4;1;1;14461864,302681;4033401,53710101;6475161,96831011;1833996,26932857;0,172696365255859;6235,68661574231
"35";2;3;2;3;3;2;2;2;1;1;2;2;2;2;2;1;2;1;1;1;2;2;1;2;2;3;;;;;;;;;1;1;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;4;1;2;2;1;4;1;1;14461864,302681;4680529,27027831;9306846,75975905;9082972,15513015;2,04389140459898;73800,4315076705
"36";2;1;1;1;3;2;1;2;2;2;2;2;2;2;2;1;5;1;2;2;2;2;4;1;3;2;2;2;1;2;2;2;2;4;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;;1;1;2;2;4;1;96;14461864,302681;6224087,26340164;9306846,75975905;1833996,26932857;0,823794659416205;29745,416611583
"37";2;1;1;1;4;2;2;2;1;2;2;2;2;2;2;1;3;2;2;2;2;2;4;1;3;1;;;;;;;;4;1;1;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;1;;6;1;;1;2;2;2;4;1;1;14461864,302681;4680529,27027831;9306846,75975905;1833996,26932857;0,576445192876413;20814,1704001874
"38";2;3;1;1;4;2;2;2;1;2;1;2;2;2;2;2;4;1;1;2;2;2;4;1;3;97;;;;;;;;;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;3;1;;;1;3;4;4;1;1;2;1;9518913,45314225;2202936,75527634;3336804,26555338;6581932,49735434;1,12516850324387;40627,3644829628
"39";3;97;2;1;4;2;2;2;2;1;2;2;2;2;2;1;2;1;1;1;1;2;1;1;3;2;2;2;2;2;2;1;2;11;1;1;1;2;1;2;1;2;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;;;;;1;2;1;2;;;2;2;1;2;2;2;2;2;1;4;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;2;1;4;3;1;1;2;2;19504420,6018672;6329164,84158728;10649723,4784583;19008208,2217878;2,49117064167147;89950,7028117604
"40";3;1;1;1;3;2;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;4;1;3;1;;;;;;;;11;1;1;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;1;2;1;2;2;2;2;2;4;1;6;2;;4;1;2;3;3;1;1;222828,22375231;6224087,26340164;3915537,04929414;12186583,0403909;0,327951685281625;11841,6153778974
"41";3;1;1;1;3;1;1;2;2;1;2;2;2;2;1;1;5;1;2;2;1;2;1;2;2;1;;;;;;;;4;1;1;1;2;1;2;2;2;1;2;2;1;2;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;2;;;2;1;2;;;;2;2;2;1;2;2;2;2;2;4;1;1;1;2;1;2;1;2;2;2;1;2;3;1;6;1;;3;1;2;2;2;1;96;2678539,92998988;6224087,26340164;6475161,96831011;1833996,26932857;0,289516209356766;10453,7947226147
"42";3;3;1;1;3;2;2;2;1;2;2;2;2;2;2;2;5;1;1;2;2;2;2;1;2;1;;;;;;;;4;1;1;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;3;1;;;1;3;2;3;1;1;2;2;19504420,6018672;7210035,70585308;11830617,0641027;19008208,2217878;1,18746772250199;42876,8525200938
"43";3;1;1;1;3;1;1;1;1;1;1;1;2;2;2;3;5;2;2;2;2;2;4;1;97;1;;;;;;;;4;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;3;1;;;1;3;2;3;1;3;3;1;450998,43868754;7210035,70585308;11830617,0641027;19008208,2217878;0,325780775210711;11763,228581203
"44";2;1;2;1;3;2;2;2;1;2;2;2;2;2;2;1;2;1;1;1;1;2;3;1;2;1;;;;;;;;11;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;4;1;6;1;;4;4;3;2;4;2;1;13960677,4593904;6329164,84158728;9667487,9365852;3097231,98911423;0,2423508324774;8750,75650928944
"45";3;2;97;3;4;2;2;2;2;1;2;2;2;2;3;1;3;1;1;1;1;2;4;2;1;2;1;2;2;2;2;2;2;11;1;1;2;2;2;2;1;2;1;1;2;2;2;1;2;1;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;;;;2;2;1;1;1;1;2;2;2;2;2;1;2;2;2;4;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;;1;3;3;2;3;97;2;450998,43868754;6591591,83579349;10649723,4784583;3097231,98911423;0,294856285592425;10646,6131520032
"46";3;1;1;1;3;2;2;2;1;2;2;2;2;2;2;1;2;1;1;2;2;2;1;1;3;1;;;;;;;;11;1;1;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;3;1;;;2;3;1;1;1;4;2;2;4846039,7630248;2177738,10825259;2083133,06024781;2895396,97531023;1,50703527988874;54415,7354460296
"47";3;1;1;1;3;2;2;2;1;2;2;1;2;2;2;1;3;1;1;2;2;2;3;1;2;2;2;2;1;2;2;2;2;12;1;2;2;1;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;;1;1;2;2;4;97;1;14461864,302681;6224087,26340164;9306846,75975905;1833996,26932857;0,823794659416205;29745,416611583
"48";3;2;2;1;3;2;1;2;2;2;1;2;2;2;2;1;4;1;1;2;2;2;4;1;3;1;;;;;;;;11;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;3;1;4;2;;3;2;2;3;4;1;96;14461864,302681;4680529,27027831;6475161,96831011;12186583,0403909;1,11363867375602;40211,0476524799
"49";3;2;2;1;3;2;1;2;1;2;2;2;2;2;2;3;5;1;1;2;2;2;4;1;2;1;;;;;;;;11;1;1;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;3;1;4;2;;3;2;3;3;2;2;2;3804141,48667104;7210035,70585308;11830617,0641027;15614797,7757141;1,23010704352471;44416,4647928348
"50";3;1;1;1;4;2;2;2;1;2;2;2;2;2;2;1;1;1;2;1;1;2;2;1;3;2;1;2;2;2;2;2;2;12;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;1;;4;2;;1;1;2;3;4;97;1;14461864,302681;6224087,26340164;9306846,75975905;12186583,0403909;4,46069343084597;161065,846883609
"51";3;1;1;1;3;2;2;2;1;2;2;2;2;2;2;1;2;1;1;1;2;2;4;1;2;2;2;2;1;2;2;2;2;4;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;3;1;;;3;3;3;1;1;4;2;1;4846039,7630248;1203908,84087813;2083133,06024781;2895396,97531023;1,08409597234045;39144,3255617341
"52";3;4;1;2;3;1;2;2;2;2;2;2;2;2;2;2;3;1;1;1;2;2;4;1;2;1;;;;;;;;4;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;97;2;97;97;97;97;97;97;97;97;2;1;4;2;;2;5;1;3;4;2;2;4846039,7630248;1012067,2864541;1122900,34116593;3307111,57367646;1,19355370989047;43096,6041636543
"53";3;1;1;1;4;2;2;2;1;1;2;2;2;2;2;2;4;2;2;2;2;2;2;1;2;1;;;;;;;;11;2;;;;;;;;1;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;1;;2;2;2;;;;2;2;2;2;2;2;2;1;2;4;2;2;2;2;2;2;2;2;2;2;2;2;3;1;;;1;3;2;2;1;1;1;2;5740319,00842639;4680529,27027831;6475161,96831011;9082972,15513015;0,840925644012079;30363,9788563686
"54";3;1;1;1;3;1;2;2;2;2;2;2;2;2;2;2;5;1;2;2;2;2;4;1;2;2;1;2;2;2;2;2;2;11;1;2;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;3;1;;;3;3;3;2;1;4;2;1;14461864,302681;4033401,53710101;6475161,96831011;9082972,15513015;0,612326411797507;22109,7624426215
"55";3;1;1;1;4;2;2;2;1;2;2;2;2;2;1;2;3;1;1;1;2;2;4;2;1;1;;;;;;;;4;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;1;1;2;1;2;2;1;2;2;2;2;2;5;2;;1;4;2;3;4;1;1;14461864,302681;3470224,48658806;9306846,75975905;12186583,0403909;2,83670515309817;102427,195440823
"56";2;4;1;1;3;2;1;2;1;2;2;2;2;2;1;2;2;1;1;1;1;2;4;1;3;2;2;2;2;1;2;2;2;4;1;1;1;2;1;2;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;2;;2;2;2;;;;2;2;2;2;2;2;2;1;2;5;2;2;2;2;2;2;2;2;2;2;2;2;4;2;2;2;;4;5;2;3;1;3;1;5740319,00842639;4695308,90748061;3915537,04929414;12186583,0403909;1,49461568377375;53967,2910960142
