"ID";"P05";"P06";"P07";"P08";"P09";"P10_01";"P10_02";"P10_03";"P10_04";"P10_05";"P10_06";"P10_07";"P10_08";"P10_09";"P11";"P12";"P12_A";"P13_01";"P13_02";"P13_03";"P13_04";"P13_A";"P14";"P15";"P16";"P17";"P17_A_01";"P17_A_02";"P17_A_03";"P17_A_04";"P17_A_05";"P17_A_06";"P17_A_07";"P18";"P18_A";"P18_B";"P18_C_01";"P18_C_02";"P18_C_03";"P18_C_04";"P18_C_05";"P18_C_06";"P19";"P20_01";"P20_02";"P20_03";"P20_04";"P20_05";"P20_06";"P21_01";"P21_02";"P21_03";"P21_04";"P21_05";"P21_09";"P21_10";"P22_01";"P22_02";"P22_03";"P22_04";"P22_05";"P22_06";"P22_07";"P22_08";"P22_09";"P22_10";"P22_11";"P22_12";"P22_13";"P22_14";"P22_15";"P22_16";"P22_17";"P22_A";"P22_B";"P22_C";"P22_D";"P23";"P24";"P25";"P26";"P26_A";"P27";"P28_01";"P28_02";"P28_03";"P28_04";"P28_05";"P28_06";"P28_07";"P28_08";"P28_09";"P29";"P30_01";"P30_02";"P30_03";"P30_04";"P30_05";"P30_06";"P30_A_01";"P30_A_02";"P30_A_03";"P30_A_04";"P30_A_05";"P30_A_06";"P33";"P34";"P36";"P37";"P38";"VD_EDUCACAO";"VD_IDADE";"VD_REGIAO";"VD_OCUPACAO";"VD_RACA";"VD_RENDA";"VD_RELIGIAO";"POP_regiao_raca";"POP_regiao_idade";"POP_regiao_edu";"POP_regiao_trab";"W1";"W2"
"1054";3;3;1;1;3;2;2;2;1;2;2;2;2;2;2;2;3;2;2;2;2;2;4;1;2;1;;;;;;;;11;1;1;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;3;1;6;2;;3;2;2;3;4;1;1;14461864,302681;4680529,27027831;6475161,96831011;12186583,0403909;1,11363867375602;40211,0476524799
"1055";1;1;97;97;4;1;2;2;1;2;2;2;2;2;3;3;97;1;2;2;2;2;2;1;97;2;2;2;1;2;2;2;2;4;1;1;1;2;2;2;2;2;1;2;2;2;2;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;2;2;2;;;;2;2;2;1;2;2;2;2;2;97;2;2;2;2;2;2;2;2;2;2;2;2;2;1;5;2;;2;5;3;3;1;97;2;19504420,6018672;8798165,98063689;5572409,50746999;15614797,7757141;0,838020257371671;30259,0717232028
"1056";3;3;1;1;3;2;2;2;1;2;2;2;2;2;1;1;3;1;1;1;1;2;1;1;2;1;;;;;;;;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;2;1;2;;;;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;3;2;3;2;;2;1;2;3;4;1;2;14461864,302681;6224087,26340164;3406005,68748633;12186583,0403909;1,66462863438021;60106,0854998738
"1057";2;1;2;3;3;2;2;2;2;1;2;2;2;2;2;3;5;1;1;1;1;2;3;1;2;2;2;2;1;2;2;2;2;12;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;3;1;4;1;;3;1;3;2;4;1;2;13960677,4593904;8791279,62274544;11830617,0641027;3097231,98911423;0,562483386870092;20310,0402367284
"1058";2;1;1;1;3;2;2;2;1;2;2;2;2;2;2;2;4;1;1;2;1;2;4;1;3;1;;;;;;;;11;1;1;2;2;1;2;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;3;2;;;1;2;1;3;1;4;1;96;13960677,4593904;8791279,62274544;5572409,50746999;19008208,2217878;1,05403083714385;38058,7395340946
"1059";3;1;1;1;97;1;2;2;1;2;2;2;2;2;2;2;3;2;2;2;2;2;4;1;3;1;;;;;;;;4;1;1;2;2;2;2;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;2;2;2;;;;2;2;2;2;2;2;2;1;2;4;2;2;2;2;2;2;2;2;2;2;2;2;2;1;;;3;2;5;3;1;4;1;1;13960677,4593904;8798165,98063689;5572409,50746999;19008208,2217878;0,532826844354964;19239,2075938017
"1060";3;3;2;1;3;1;2;2;2;1;2;2;2;2;2;3;3;1;2;2;2;2;4;1;2;2;2;2;1;2;2;2;2;4;1;1;1;2;2;2;1;2;1;1;2;2;2;1;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;1;2;2;;;;2;2;2;2;2;2;2;1;2;5;1;1;1;2;2;2;2;2;2;2;1;2;3;1;;;4;3;2;5;1;4;1;2;3421308,1019427;1352560,93081092;1826530,14140164;3453128,1894327;0,829586273715188;29954,5390891418
"1061";3;3;1;1;3;1;1;1;1;1;1;1;1;1;2;2;3;1;1;1;2;2;4;1;3;1;;;;;;;;11;1;1;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;2;;2;1;5;3;1;97;1;2431431,47238272;1692837,76193263;972928,21404694;2606884,35133205;1,97275268208103;71231,7684138701
"1062";3;1;1;1;97;2;2;2;1;2;2;2;2;2;97;97;97;1;2;1;2;2;1;1;3;2;2;2;2;1;2;2;2;12;1;1;1;1;1;1;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;1;;5;2;;1;5;5;3;4;1;1;3421308,1019427;1190793,06008624;1966031,961604;2606884,35133205;2,57471760637345;92967,4002900553
"1063";2;4;1;1;97;2;1;2;2;2;1;1;2;2;97;2;2;2;2;2;2;2;1;1;2;1;;;;;;;;11;1;1;1;2;1;2;2;2;1;1;2;1;2;1;2;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;2;;2;2;2;;;;2;2;2;1;2;2;2;2;1;3;1;2;2;2;2;2;2;2;2;2;2;2;2;2;;;1;1;2;3;1;1;1;2;19504420,6018672;7210035,70585308;10649723,4784583;19008208,2217878;2,82586430694151;102035,756285851
"1064";2;1;1;1;3;2;2;2;1;1;1;2;2;2;1;1;3;1;1;1;1;2;2;2;2;1;;;;;;;;4;1;1;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;4;1;;;2;4;3;4;1;1;3;1;9518913,45314225;2173701,16581883;3043136,18139733;6581932,49735434;0,708595024034809;25585,8106846031
"1065";2;2;1;1;3;2;2;2;1;2;2;2;2;2;97;2;5;1;1;1;2;2;2;1;2;1;;;;;;;;4;1;1;2;2;1;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;1;2;2;2;2;2;4;1;97;97;2;4;5;3;3;1;3;1;19504420,6018672;8798165,98063689;9667487,9365852;15614797,7757141;0,793361560421768;28646,5442190227
