"I01";"P04";"P05";"P06";"P07";"P08";"P09";"P10";"P11";"P12";"P13_01";"P13_02";"P13_03";"P13_04";"P13_05";"P13_06";"P13_07";"P13_08";"P14";"P15";"P16";"P17";"P18";"P19";"P20";"P21";"P22";"P23_01";"P23_02";"P23_03";"P23_04";"P23_05";"P23_06";"P24";"P25_01";"P25_02";"P25_03";"P25_04";"P25_05";"P25_06";"P26_01";"P26_02";"P26_03";"P26_04";"P26_05";"P26_06";"P26_07";"P26_08";"P26_09";"P26_10";"P26_11";"P26_12";"P26_13";"P27_01";"P27_02";"P27_03";"P27_04";"P27_05";"P27_06";"P27_07";"P27_08";"P27_09";"P27_10";"P27_11";"P27_12";"P27_13";"P27_14";"P27_15";"P27_16";"P28";"P29";"P30";"P31_01";"P31_02";"P31_03";"P31_04";"P31_05";"P31_06";"P31_07";"P31_08";"P31_09";"P32";"P34";"P35";"P36";"P38";"VD_IDADE";"VD_RENDA";"VD_RACA";"W1";"W2"
"1026";1;"2";"3";"1";"1";"1";"1";"1";"2";"2";"2";"2";"2";"1";"1";"2";"2";"1";"2";"2";"1";"1";"1";"4";"1";"1";"2";"2";"1";"2";"1";"2";"1";"1";"2";"1";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"1";"2";"2";"2";"2";"2";"5";"2";"1";"3";"1";"3";"2";"1";"1.09472807970297";"64654.75"
"1027";1;"2";"1";"97";"1";"1";"1";"1";"3";"2";"2";"2";"1";"1";"2";"2";"2";"1";"2";"2";"1";"1";"1";"10";"1";"1";"1";"2";"2";"2";"1";"2";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"3";"1";"3";"1";"3";"2";"3";"1.51901197647176";"89713"
"1028";4;"3";"3";"2";"1";"1";"1";"1";"3";"2";"1";"2";"1";"2";"2";"2";"2";"1";"2";"1";"2";"1";"1";"10";"2";;;;;;;;"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"4";"1";"5";"1";"5";"2";"1";"1.30630519296431";"77150.5154797762"
"1029";4;"2";"2";"1";"2";;;"1";"3";"2";"2";"2";"1";"1";"1";"2";"2";"1";"1";"2";"2";"1";"1";"10";"1";"1";"1";"2";"1";"2";"1";"2";"1";"1";"2";"1";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"4";"3";"1";"6";"5";"2";"3";"1";"0.578717916904258";"34179.1381118881"
"1030";1;"2";"2";"2";"1";"1";"1";"1";"3";"2";"2";"2";"1";"2";"2";"2";"2";"1";"2";"2";"1";"1";"1";"4";"1";"2";"2";"2";"1";"2";"1";"2";"1";"2";"2";"1";"1";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"1";"4";"2";"1";"1";"2";"3";"2";"3";"1.51901197647176";"89713"
"1031";1;"3";"2";"1";"2";;;"1";"4";"2";"2";"1";"1";"2";"2";"2";"2";"1";"2";"2";"1";"1";"1";"4";"1";"2";"97";"97";"97";"97";"97";"97";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"4";"1";"3";"1";"5";"2";"1";"3.49476634125215";"206401.25"
"1032";4;"2";"2";"1";"2";;;"2";"3";"1";"1";"2";"1";"2";"2";"1";"2";"1";"2";"2";"2";"1";"1";"10";"1";"1";"1";"2";"1";"1";"2";"2";"1";"1";"2";"1";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"1";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"1";"2";"1";"2";"2";"2";"3";"2";"1";"5";"1";"3";"3";"1";"0.578717916904258";"34179.1381118881"
"1033";1;"2";"2";"1";"2";;;"1";"3";"2";"2";"2";"2";"2";"1";"2";"2";"1";"2";"1";"1";"1";"1";"10";"1";"1";"1";"1";"1";"1";"1";"1";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"2";"7";"3";"3";"3";"3";"0.970286745511849";"57895.8333333333"
"1034";4;"1";"1";"97";"97";;;"2";"4";"2";"2";"2";"1";"1";"2";"2";"2";"1";"2";"2";"97";"1";"2";;"2";;;;;;;;"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"4";"2";"5";"1";"5";"97";"1";"0.319267979252187";"18856"
"1035";4;"3";"1";"2";"1";"1";"1";"1";"3";"1";"2";"2";"1";"2";"2";"2";"2";"1";"3";"2";"2";"1";"97";;"1";"1";"1";"2";"2";"2";"1";"2";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"1";"2";"1";"4";"2";"3";"2.08693216351434";"123254.42251462"
