"I01";"P04";"P05";"P06";"P07";"P08";"P09";"P10";"P11";"P12";"P13_01";"P13_02";"P13_03";"P13_04";"P13_05";"P13_06";"P13_07";"P13_08";"P14";"P15";"P16";"P17";"P18";"P19";"P20";"P21";"P22";"P23_01";"P23_02";"P23_03";"P23_04";"P23_05";"P23_06";"P24";"P25_01";"P25_02";"P25_03";"P25_04";"P25_05";"P25_06";"P26_01";"P26_02";"P26_03";"P26_04";"P26_05";"P26_06";"P26_07";"P26_08";"P26_09";"P26_10";"P26_11";"P26_12";"P26_13";"P27_01";"P27_02";"P27_03";"P27_04";"P27_05";"P27_06";"P27_07";"P27_08";"P27_09";"P27_10";"P27_11";"P27_12";"P27_13";"P27_14";"P27_15";"P27_16";"P28";"P29";"P30";"P31_01";"P31_02";"P31_03";"P31_04";"P31_05";"P31_06";"P31_07";"P31_08";"P31_09";"P32";"P34";"P35";"P36";"P38";"VD_IDADE";"VD_RENDA";"VD_RACA";"W1";"W2"
"1";4;"3";"1";"2";"1";"1";"1";"1";"2";"2";"2";"2";"1";"2";"2";"2";"2";"1";"1";"2";"1";"1";"1";"9";"2";;;;;;;;"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"1";"3";"5";"1";"2";"1";"1.60937484185362";"95049.8392857143"
"2";4;"3";"1";"1";"1";"1";"1";"1";"3";"2";"2";"2";"1";"2";"2";"2";"2";"1";"3";"2";"1";"1";"1";"10";"1";"1";"1";"1";"1";"1";"1";"1";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"1";"2";"3";"3";"2";"1";"1.78347230063695";"105332.052631579"
"3";4;"3";"2";"1";"1";"1";"1";"1";"3";"1";"1";"2";"1";"2";"2";"2";"2";"1";"2";"2";"1";"1";"1";"10";"1";"1";"1";"2";"2";"2";"1";"2";"1";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"4";"4";"1";"2";"1";"4";"2";"1";"2.03054666748002";"119724.289473684"
"4";4;"2";"3";"2";"1";"1";"1";"1";"3";"2";"2";"2";"1";"2";"2";"2";"2";"1";"2";"2";"2";"1";"2";;"1";"1";"2";"1";"2";"2";"2";"2";"1";"2";"1";"2";"2";"2";"2";"97";"97";"97";"97";"97";"97";"97";"97";"97";"97";"97";"97";"97";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"1";"2";"1";"7";"4";"3";"97";"2";"0.289786166397034";"17114.8"
"5";4;"2";"2";"1";"1";"1";"1";"1";"4";"2";"2";"2";"1";"2";"2";"2";"2";"1";"2";"97";"1";"1";"2";;"2";;;;;;;;"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"1";"4";"1";"5";"1";"3";"2.03054666748002";"119724.289473684"
"6";4;"3";"1";"1";"1";"1";"1";"1";"3";"2";"1";"2";"1";"2";"2";"2";"2";"1";"2";"2";"1";"1";"1";"4";"1";"1";"1";"2";"2";"2";"2";"2";"1";"1";"2";"2";"2";"2";"2";"1";"2";"2";"1";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"1";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"1";"2";"2";"2";"2";"2";"2";"2";"1";"2";"5";"1";"1";"2";"2";"2";"2";"1";"1.78347230063695";"105332.052631579"
"7";4;"2";"2";"2";"1";"1";"1";"1";"3";"1";"1";"2";"2";"2";"2";"2";"2";"1";"3";"2";"1";"2";"2";;"2";;;;;;;;"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"1";"5";"1";"5";"1";"1";"1.48971102187896";"87974.2941176471"
"8";4;"1";"3";"3";"3";;;"2";"2";"1";"2";"1";"2";"2";"2";"2";"2";"1";"2";"2";"1";"1";"1";"4";"2";;;;;;;;"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"1";"4";"5";"1";"2";"3";"1.70880049734621";"100921.928571429"
"9";4;"2";"1";"2";"2";;;"1";"3";"2";"2";"2";"1";"2";"2";"2";"2";"1";"3";"2";"2";"1";"1";"10";"2";;;;;;;;"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"1";"5";"5";"3";"2";"1";"1.36326731520585";"80514.7041223404"
"10";4;"3";"1";"1";"1";"1";"1";"1";"97";"2";"2";"2";"1";"2";"2";"2";"2";"1";"2";"2";"1";"1";"1";"10";"2";;;;;;;;"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"4";"1";"5";"1";"5";"4";"97";"1.17971174874271";"69679.8"
"11";4;"3";"1";"2";"1";"1";"1";"1";"4";"2";"2";"2";"1";"2";"2";"2";"2";"1";"2";"2";"1";"1";"1";"12";"1";"1";"97";"97";"97";"97";"97";"97";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"3";"1";"2";"5";"4";"2";"3";"2.08693216351434";"123254.42251462"
"12";4;"2";"2";"1";"1";"1";"1";"1";"3";"2";"1";"1";"1";"2";"2";"2";"2";"1";"2";"1";"1";"1";"1";"4";"1";"1";"1";"1";"2";"2";"1";"2";"1";"1";"1";"2";"2";"1";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"5";"2";"1";"5";"1";"3";"2";"3";"1.48971612899922";"87974.5957446808"
"13";4;"3";"1";"1";"1";"1";"97";"1";"2";"2";"1";"2";"1";"1";"2";"2";"2";"1";"2";"1";"2";"1";"1";"5";"2";;;;;;;;"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";"1";"5";"3";"1";"1";"97";"1.06284094359682";"62771.4925373134"
"14";4;"3";"3";"1";"2";;;"2";"3";"2";"2";"2";"2";"2";"1";"2";"2";"1";"2";"2";"2";"1";"1";"5";"1";"1";"1";"2";"2";"2";"2";"2";"1";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"1";"2";"2";"2";"2";"2";"2";"2";"1";"2";"4";"2";"1";"7";"5";"2";"3";"3";"0.591974321132642";"34962.6532738095"
"15";4;"2";"1";"1";"1";"2";"2";"1";"3";"2";"1";"2";"1";"2";"1";"2";"2";"1";"2";"2";"2";"1";"1";"10";"2";;;;;;;;"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"1";"7";"5";"2";"2";"1";"1.50038783171644";"88613.0555555556"
"16";4;"2";"1";"2";"1";"1";"2";"2";"3";"2";"1";"2";"1";"1";"2";"2";"2";"1";"2";"1";"1";"1";"1";"4";"1";"1";"1";"2";"1";"2";"1";"2";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";"2";"5";"5";"1";"2";"3";"1.06284094359682";"62771.4925373134"
"17";4;"3";"3";"1";"2";;;"1";"2";"2";"1";"2";"2";"1";"2";"2";"2";"1";"1";"1";"2";"1";"1";"10";"2";;;;;;;;"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";"2";"6";"3";"1";"2";"3";"1.01248037331643";"59797.1922146027"
"18";4;"3";"1";"1";"1";"1";"2";"1";"3";"2";"2";"2";"1";"2";"1";"2";"2";"1";"3";"1";"2";"1";"1";"10";"1";"1";"1";"2";"1";"2";"2";"2";"1";"1";"2";"2";"2";"2";"2";"97";"97";"97";"97";"97";"97";"97";"97";"97";"97";"97";"97";"97";"1";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"1";"1";"2";"2";"2";"2";"2";"2";"2";"2";"4";"1";"2";"7";"5";"2";"3";"1";"0.591974321132642";"34962.6532738095"
"19";4;"2";"1";"1";"1";"2";"1";"1";"4";"2";"2";"2";"2";"2";"1";"2";"2";"1";"2";"2";"1";"1";"97";;"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"1";"1";"2";"4";"7";"5";"3";"1";"1.85197527639383";"109377.845238095"
"20";4;"2";"1";"1";"1";"1";"1";"1";"4";"2";"1";"2";"2";"1";"2";"2";"2";"1";"2";"2";"1";"1";"1";"10";"1";"1";"1";"2";"1";"2";"2";"2";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"1";"5";"1";"2";"2";"3";"1.36326731520585";"80514.7041223404"
"21";4;"3";"3";"1";"2";;;"1";"3";"1";"2";"2";"1";"2";"2";"2";"2";"1";"2";"1";"2";"1";"1";"10";"2";;;;;;;;"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"1";"7";"3";"3";"4";"3";"0.591974321132642";"34962.6532738095"
"22";4;"2";"1";"1";"1";"1";"97";"1";"3";"2";"2";"2";"1";"2";"2";"2";"2";"1";"2";"2";"1";"1";"1";"5";"1";"1";"1";"2";"2";"2";"2";"2";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";"2";"4";"6";"1";"1";"3";"1.70880049734621";"100921.928571429"
"23";4;"3";"3";"1";"1";"1";"1";"1";"4";"2";"2";"2";"1";"2";"2";"2";"2";"1";"3";"2";"1";"1";"1";"10";"1";"1";"1";"2";"2";"2";"2";"2";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";"1";"5";"8";"1";"2";"1";"1.06284094359682";"62771.4925373134"
"24";4;"3";"1";"1";"3";;;"2";"3";"2";"2";"2";"1";"2";"1";"2";"2";"1";"2";"2";"1";"1";"1";"10";"1";"1";"1";"1";"1";"2";"2";"2";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";"2";"5";"5";"1";"2";"1";"1.01248037331643";"59797.1922146027"
"25";4;"2";"1";"1";"1";"1";"1";"1";"4";"1";"1";"1";"1";"1";"1";"1";"2";"1";"1";"2";"1";"1";"1";"4";"2";;;;;;;;"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"1";"4";"1";"4";"1";"1";"2.03054666748002";"119724.289473684"
"26";4;"1";"3";"1";"1";"1";"1";"1";"4";"2";"2";"2";"2";"1";"2";"2";"2";"1";"1";"2";"1";"1";"1";"97";"1";"1";"2";"2";"1";"2";"2";"2";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"1";"3";"2";"4";"2";"3";"2.08693216351434";"123254.42251462"
"27";4;"2";"2";"1";"1";"2";"1";"1";"3";"1";"2";"2";"1";"2";"2";"2";"2";"1";"2";"2";"1";"1";"1";"10";"1";"1";"1";"2";"2";"2";"1";"2";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"1";"3";"1";"3";"1";"3";"1.78347230063695";"105332.052631579"
"28";4;"3";"1";"1";"1";"1";"1";"1";"3";"1";"1";"2";"1";"1";"2";"2";"2";"1";"1";"2";"1";"1";"1";"4";"2";;;;;;;;"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"1";"7";"8";"3";"1";"3";"1.23004833438849";"72646.7777777778"
"29";4;"3";"2";"1";"1";"1";"1";"1";"4";"2";"2";"2";"1";"2";"2";"2";"2";"1";"3";"2";"1";"1";"1";"5";"1";"1";"2";"2";"2";"2";"1";"2";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"4";"1";"2";"1";"5";"3";"97";"1.83582244066636";"108423.857142857"
"30";4;"3";"1";"1";"2";;;"1";"3";"2";"2";"2";"1";"2";"2";"2";"2";"1";"2";"2";"1";"1";"1";"10";"1";"1";"1";"2";"1";"2";"1";"2";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"6";"2";"5";"5";"1";"2";"1";"1.06284094359682";"62771.4925373134"
"31";4;"3";"3";"1";"1";"1";"1";"1";"3";"2";"2";"2";"1";"2";"2";"2";"2";"1";"2";"2";"1";"1";"1";"10";"1";"1";"1";"2";"2";"2";"2";"2";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"1";"2";"1";"2";"1";"3";"1.73837478453875";"102668.588815789"
"32";4;"2";"1";"2";"3";;;"1";"3";"1";"2";"2";"1";"2";"2";"2";"2";"1";"2";"2";"1";"1";"1";"4";"2";;;;;;;;"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"1";"5";"1";"3";"1";"1";"1.36326731520585";"80514.7041223404"
"33";4;"3";"1";"2";"1";"1";"2";"1";"3";"2";"2";"2";"2";"2";"1";"1";"2";"1";"3";"2";"1";"1";"1";"10";"1";"1";"1";"2";"2";"2";"1";"2";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"1";"5";"1";"2";"1";"3";"1.36326731520585";"80514.7041223404"
"34";4;"2";"1";"2";"2";;;"1";"3";"1";"2";"2";"1";"1";"2";"2";"2";"1";"1";"2";"2";"1";"1";"12";"1";"1";"1";"2";"1";"2";"1";"2";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"1";"7";"3";"2";"4";"4";"0.626822295028947";"37020.1875"
"35";4;"2";"3";"2";"2";;;"2";"3";"2";"1";"2";"1";"2";"2";"2";"2";"1";"1";"2";"2";"1";"1";"4";"1";"1";"1";"2";"1";"2";"2";"2";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"3";"2";"7";"5";"2";"3";"1";"0.557146347236337";"32905.119047619"
"36";4;"3";"1";"1";"3";;;"1";"3";"2";"1";"2";"1";"2";"2";"2";"2";"1";"2";"2";"1";"1";"1";"10";"2";;;;;;;;"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";"1";"4";"1";"2";"1";"3";"1.73837478453875";"102668.588815789"
"37";4;"1";"3";"1";"1";"1";"1";"1";"3";"2";"2";"2";"1";"2";"2";"2";"2";"1";"2";"2";"1";"1";"1";"12";"2";;;;;;;;"1";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"5";"2";"1";"3";"1";"5";"2";"1";"2.14331765954866";"126584.555555556"
"38";4;"3";"2";"1";"1";"1";"1";"1";"2";"2";"2";"2";"1";"2";"2";"2";"2";"1";"3";"2";"2";"1";"1";"10";"2";;;;;;;;"1";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"1";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"5";"2";"1";"5";"5";"2";"2";"3";"1.36326731520585";"80514.7041223404"
"39";4;"3";"2";"1";"2";;;"1";"3";"2";"2";"2";"1";"2";"2";"1";"2";"1";"2";"2";"2";"1";"1";"3";"1";"2";"2";"2";"1";"2";"2";"2";"1";"1";"2";"1";"2";"2";"2";"97";"97";"97";"97";"97";"97";"97";"97";"97";"97";"97";"97";"97";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"5";"5";"1";"9";"5";"2";"4";"2";"0.591974321132642";"34962.6532738095"
"40";4;"2";"1";"1";"1";"1";"1";"1";"4";"2";"2";"2";"1";"1";"2";"2";"2";"1";"1";"2";"1";"1";"1";"5";"1";"1";"2";"2";"2";"1";"2";"2";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"97";"1";"2";"1";"2";"1";"1";"1.78347230063695";"105332.052631579"
"41";4;"2";"1";"2";"3";;;"2";"3";"2";"2";"2";"1";"1";"2";"1";"2";"1";"1";"1";"1";"1";"1";"10";"1";"2";"1";"2";"2";"2";"1";"2";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"1";"5";"3";"4";"1";"3";"1.30630519296431";"77150.5154797762"
"42";4;"2";"1";"2";"1";"1";"1";"1";"3";"1";"2";"2";"1";"2";"2";"2";"2";"1";"2";"2";"2";"1";"1";"5";"2";;;;;;;;"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"97";"5";"8";"1";"1";"3";"1.06284094359682";"62771.4925373134"
"43";4;"3";"2";"1";"1";"1";"1";"1";"4";"1";"1";"2";"2";"2";"1";"2";"2";"1";"2";"2";"1";"1";"1";"10";"1";"1";"2";"2";"2";"2";"1";"2";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"1";"3";"1";"3";"1";"1";"1.73837478453875";"102668.588815789"
"44";4;"2";"2";"2";"1";"1";"1";"1";"3";"2";"1";"2";"2";"2";"1";"1";"2";"1";"2";"2";"1";"1";"1";"5";"1";"1";"1";"1";"1";"1";"1";"2";"1";"2";"1";"2";"2";"2";"2";"97";"97";"97";"97";"97";"97";"97";"97";"97";"97";"97";"97";"97";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"1";"2";"1";"2";"2";"2";"2";"2";"1";"1";"2";"7";"5";"1";"2";"1";"0.49635214103542";"29314.6071428571"
"45";4;"1";"2";"1";"1";"2";"1";"2";"3";"1";"1";"2";"1";"2";"1";"2";"2";"1";"2";"2";"1";"1";"1";"4";"1";"1";"1";"1";"1";"1";"1";"1";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"1";"5";"5";"3";"97";"1";"0.327494365259648";"19341.85"
"46";4;"3";"97";"2";"2";;;"1";"4";"2";"2";"2";"1";"1";"2";"2";"2";"1";"2";"2";"1";"1";"1";"4";"1";"2";"1";"2";"2";"2";"2";"2";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"1";"2";"1";"5";"2";"1";"2.14331765954866";"126584.555555556"
"47";4;"3";"1";"1";"2";;;"1";"1";"2";"2";"2";"1";"2";"2";"2";"2";"1";"3";"1";"1";"1";"1";"4";"1";"1";"1";"2";"2";"2";"2";"2";"1";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"5";"1";"1";"4";"2";"4";"2";"3";"2.08693216351434";"123254.42251462"
"48";4;"3";"1";"1";"1";"1";"1";"1";"3";"2";"2";"2";"1";"1";"2";"2";"2";"1";"3";"2";"1";"1";"1";"10";"1";"1";"2";"1";"2";"2";"2";"2";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"1";"7";"5";"3";"3";"1";"0.591974321132642";"34962.6532738095"
"49";4;"2";"1";"1";"1";"1";"1";"1";"3";"2";"2";"2";"1";"2";"1";"1";"2";"1";"2";"2";"1";"1";"1";"2";"1";"1";"1";"2";"2";"2";"1";"2";"1";"1";"2";"1";"2";"2";"2";"1";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"3";"1";"2";"1";"4";"1";"1";"2.03054666748002";"119724.289473684"
"50";4;"2";"1";"2";"1";"1";"1";"1";"3";"1";"1";"2";"2";"2";"2";"2";"2";"1";"3";"1";"1";"1";"1";"10";"1";"1";"1";"1";"2";"2";"2";"2";"1";"1";"1";"2";"2";"1";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"5";"6";"1";"5";"3";"3";"3";"1";"0.578717916904258";"34179.1381118881"
"51";4;"3";"1";"2";"2";;;"1";"3";"2";"2";"2";"1";"1";"1";"2";"2";"1";"2";"2";"2";"1";"1";"10";"1";"1";"1";"2";"1";"2";"2";"2";"1";"2";"2";"1";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"1";"2";"2";"2";"1";"2";"2";"2";"2";"2";"4";"1";"1";"5";"5";"1";"2";"1";"1.01248037331643";"59797.1922146027"
"52";4;"2";"1";"1";"1";"2";"1";"1";"3";"1";"1";"2";"1";"2";"1";"2";"2";"1";"3";"2";"1";"1";"1";"10";"1";"2";"1";"2";"2";"2";"1";"2";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";"1";"5";"2";"2";"2";"3";"1.36326731520585";"80514.7041223404"
"53";4;"3";"1";"1";"1";"1";"1";"1";"2";"2";"2";"2";"1";"2";"2";"1";"2";"1";"2";"2";"1";"1";"1";"4";"1";"1";"1";"2";"2";"2";"1";"2";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"1";"3";"1";"2";"1";"3";"1.73837478453875";"102668.588815789"
"54";4;"1";"1";"3";"1";"1";"2";"1";"4";"2";"2";"2";"2";"1";"2";"2";"2";"1";"3";"2";"2";"2";"2";;"2";;;;;;;;"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"4";"1";"3";"7";"5";"3";"3";"1.85197527639383";"109377.845238095"
"55";4;"3";"1";"1";"2";;;"2";"3";"1";"1";"1";"1";"1";"1";"1";"2";"1";"2";"2";"1";"1";"1";"10";"1";"1";"1";"2";"2";"2";"1";"2";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";"2";"5";"8";"1";"2";"2";"1.06284094359682";"62771.4925373134"
"56";4;"3";"2";"2";"3";;;"1";"2";"1";"2";"2";"1";"2";"2";"2";"2";"1";"2";"1";"2";"1";"1";"4";"97";;;;;;;;"1";"2";"2";"1";"2";"2";"2";"97";"97";"97";"97";"97";"97";"97";"97";"97";"97";"97";"97";"97";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"97";"4";"1";"5";"97";"5";"3";"1";"1.18644970206827";"70071.85"
"57";4;"3";"1";"1";"1";"1";"1";"1";"3";"2";"2";"2";"2";"1";"2";"1";"2";"1";"2";"1";"1";"1";"1";"10";"1";"1";"2";"2";"2";"2";"1";"2";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";"1";"1";"1";"5";"2";"4";"2.14331765954866";"126584.555555556"
"58";4;"2";"1";"1";"1";"1";"2";"1";"3";"1";"1";"2";"2";"1";"2";"2";"2";"1";"2";"1";"2";"1";"1";"10";"1";"1";"1";"2";"1";"2";"2";"2";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"6";"1";"5";"3";"1";"2";"4";"1.06284094359682";"62771.4925373134"
"59";4;"3";"2";"1";"1";"1";"1";"1";"4";"2";"2";"2";"1";"2";"2";"2";"2";"1";"1";"2";"1";"1";"1";"12";"1";"1";"1";"2";"2";"2";"2";"2";"1";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"4";"4";"1";"2";"7";"3";"2";"3";"1.69327726844054";"100005.125"
"60";4;"3";"1";"2";"1";"1";"1";"1";"3";"2";"2";"1";"1";"1";"2";"2";"2";"1";"2";"2";"1";"1";"1";"5";"1";"1";"1";"2";"2";"2";"1";"2";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"2";"5";"3";"2";"3";"3";"0.649774224784308";"38375.7307692308"
"61";4;"2";"2";"1";"1";"1";"2";"1";"3";"1";"2";"2";"1";"2";"2";"2";"2";"1";"3";"2";"2";"1";"2";;"1";"1";"1";"2";"1";"2";"2";"2";"1";"1";"2";"1";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"1";"2";"1";"2";"2";"2";"5";"2";"1";"3";"5";"4";"2";"3";"2.14331765954866";"126584.555555556"
"62";4;"2";"1";"1";"1";"1";"2";"1";"4";"1";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"1";"1";"1";"2";"2";;;;;;;;"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"1";"5";"97";"2";"1";"3";"1.48971612899922";"87974.5957446808"
"63";4;"3";"3";"1";"1";"1";"1";"1";"3";"2";"2";"1";"1";"2";"2";"2";"2";"1";"2";"3";"1";"1";"1";"4";"1";"1";"2";"2";"1";"2";"2";"2";"1";"2";"1";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"1";"1";"1";"5";"5";"1";"2";"1";"1.06284094359682";"62771.4925373134"
